Date,,Custis Bon Air II,Custis Bon Air Ped IN,Custis Bon Air Ped OUT,Custis Bon Air Bike IN,Custis Bon Air Bike OUT
08/12/2010,0:00,,,,,
08/12/2010,0:15,,,,,
08/12/2010,0:30,,,,,
08/12/2010,0:45,,,,,
08/12/2010,1:00,,,,,
08/12/2010,1:15,,,,,
08/12/2010,1:30,,,,,
08/12/2010,1:45,,,,,
08/12/2010,2:00,,,,,
08/12/2010,2:15,,,,,
08/12/2010,2:30,,,,,
08/12/2010,2:45,,,,,
08/12/2010,3:00,,,,,
08/12/2010,3:15,,,,,
08/12/2010,3:30,,,,,
08/12/2010,3:45,,,,,
08/12/2010,4:00,,,,,
08/12/2010,4:15,,,,,
08/12/2010,4:30,,,,,
08/12/2010,4:45,,,,,
08/12/2010,5:00,,,,,
08/12/2010,5:15,,,,,
08/12/2010,5:30,,,,,
08/12/2010,5:45,,,,,
08/12/2010,6:00,,,,,
08/12/2010,6:15,,,,,
08/12/2010,6:30,,,,,
08/12/2010,6:45,,,,,
08/12/2010,7:00,,,,,
08/12/2010,7:15,,,,,
08/12/2010,7:30,,,,,
08/12/2010,7:45,,,,,
08/12/2010,8:00,,,,,
08/12/2010,8:15,,,,,
08/12/2010,8:30,,,,,
08/12/2010,8:45,,,,,
08/12/2010,9:00,,,,,
08/12/2010,9:15,,,,,
08/12/2010,9:30,,,,,
08/12/2010,9:45,,,,,
08/12/2010,10:00,,,,,
08/12/2010,10:15,,,,,
08/12/2010,10:30,,,,,
08/12/2010,10:45,,,,,
08/12/2010,11:00,,,,,
08/12/2010,11:15,,,,,
08/12/2010,11:30,,,,,
08/12/2010,11:45,,,,,
08/12/2010,12:00,,,,,
08/12/2010,12:15,,,,,
08/12/2010,12:30,,,,,
08/12/2010,12:45,,,,,
08/12/2010,13:00,,,,,
08/12/2010,13:15,,,,,
08/12/2010,13:30,,,,,
08/12/2010,13:45,,,,,
08/12/2010,14:00,,,,,
08/12/2010,14:15,,,,,
08/12/2010,14:30,0,0,0,0,0
08/12/2010,14:45,0,0,0,0,0
08/12/2010,15:00,1,1,0,0,0
08/12/2010,15:15,2,0,0,0,2
08/12/2010,15:30,1,0,0,1,0
08/12/2010,15:45,1,0,0,1,0
08/12/2010,16:00,6,0,0,0,6
08/12/2010,16:15,4,0,0,0,4
08/12/2010,16:30,4,0,0,0,4
08/12/2010,16:45,9,0,1,2,6
08/12/2010,17:00,7,1,0,0,6
08/12/2010,17:15,12,2,1,1,8
08/12/2010,17:30,11,0,0,0,11
08/12/2010,17:45,11,0,0,5,6
08/12/2010,18:00,10,0,0,1,9
08/12/2010,18:15,10,1,0,2,7
08/12/2010,18:30,2,0,0,1,1
08/12/2010,18:45,8,1,1,0,6
08/12/2010,19:00,6,1,2,1,2
08/12/2010,19:15,5,0,0,0,5
08/12/2010,19:30,1,1,0,0,0
08/12/2010,19:45,3,0,0,1,2
08/12/2010,20:00,5,0,1,0,4
08/12/2010,20:15,1,0,0,0,1
08/12/2010,20:30,3,0,2,0,1
08/12/2010,20:45,1,1,0,0,0
08/12/2010,21:00,4,1,1,0,2
08/12/2010,21:15,2,1,0,0,1
08/12/2010,21:30,1,0,0,0,1
08/12/2010,21:45,0,0,0,0,0
08/12/2010,22:00,4,2,1,0,1
08/12/2010,22:15,1,0,1,0,0
08/12/2010,22:30,3,0,3,0,0
08/12/2010,22:45,5,2,3,0,0
08/12/2010,23:00,1,0,1,0,0
08/12/2010,23:15,0,0,0,0,0
08/12/2010,23:30,2,1,1,0,0
08/12/2010,23:45,0,0,0,0,0
09/12/2010,0:00,3,2,0,0,1
09/12/2010,0:15,0,0,0,0,0
09/12/2010,0:30,1,1,0,0,0
09/12/2010,0:45,0,0,0,0,0
09/12/2010,1:00,1,1,0,0,0
09/12/2010,1:15,0,0,0,0,0
09/12/2010,1:30,0,0,0,0,0
09/12/2010,1:45,0,0,0,0,0
09/12/2010,2:00,0,0,0,0,0
09/12/2010,2:15,0,0,0,0,0
09/12/2010,2:30,0,0,0,0,0
09/12/2010,2:45,0,0,0,0,0
09/12/2010,3:00,1,0,1,0,0
