Date,,WOD East Falls Church,WOD EFC Ped IN,WOD EFC Ped OUT,WOD EFC Bike IN,WOD EFC Bike OUT
07/12/2010,00:00,0,0,0,0,0
07/12/2010,00:15,0,0,0,0,0
07/12/2010,00:30,0,0,0,0,0
07/12/2010,00:45,0,0,0,0,0
07/12/2010,01:00,0,0,0,0,0
07/12/2010,01:15,0,0,0,0,0
07/12/2010,01:30,0,0,0,0,0
07/12/2010,01:45,0,0,0,0,0
07/12/2010,02:00,0,0,0,0,0
07/12/2010,02:15,0,0,0,0,0
07/12/2010,02:30,0,0,0,0,0
07/12/2010,02:45,0,0,0,0,0
07/12/2010,03:00,0,0,0,0,0
07/12/2010,03:15,0,0,0,0,0
07/12/2010,03:30,0,0,0,0,0
07/12/2010,03:45,0,0,0,0,0
07/12/2010,04:00,1,1,0,0,0
07/12/2010,04:15,1,1,0,0,0
07/12/2010,04:30,0,0,0,0,0
07/12/2010,04:45,1,1,0,0,0
07/12/2010,05:00,0,0,0,0,0
07/12/2010,05:15,0,0,0,0,0
07/12/2010,05:30,0,0,0,0,0
07/12/2010,05:45,0,0,0,0,0
07/12/2010,06:00,0,0,0,0,0
07/12/2010,06:15,1,0,1,0,0
07/12/2010,06:30,0,0,0,0,0
07/12/2010,06:45,1,1,0,0,0
07/12/2010,07:00,0,0,0,0,0
07/12/2010,07:15,1,0,1,0,0
07/12/2010,07:30,2,0,2,0,0
07/12/2010,07:45,0,0,0,0,0
07/12/2010,08:00,0,0,0,0,0
07/12/2010,08:15,0,0,0,0,0
07/12/2010,08:30,0,0,0,0,0
07/12/2010,08:45,2,2,0,0,0
07/12/2010,09:00,2,0,2,0,0
07/12/2010,09:15,0,0,0,0,0
07/12/2010,09:30,1,0,1,0,0
07/12/2010,09:45,0,0,0,0,0
07/12/2010,10:00,0,0,0,0,0
07/12/2010,10:15,0,0,0,0,0
07/12/2010,10:30,0,0,0,0,0
07/12/2010,10:45,0,0,0,0,0
07/12/2010,11:00,0,0,0,0,0
07/12/2010,11:15,0,0,0,0,0
07/12/2010,11:30,0,0,0,0,0
07/12/2010,11:45,0,0,0,0,0
07/12/2010,12:00,0,0,0,0,0
07/12/2010,12:15,0,0,0,0,0
07/12/2010,12:30,0,0,0,0,0
07/12/2010,12:45,0,0,0,0,0
07/12/2010,13:00,0,0,0,0,0
07/12/2010,13:15,0,0,0,0,0
07/12/2010,13:30,0,0,0,0,0
07/12/2010,13:45,0,0,0,0,0
07/12/2010,14:00,0,0,0,0,0
07/12/2010,14:15,0,0,0,0,0
07/12/2010,14:30,0,0,0,0,0
07/12/2010,14:45,0,0,0,0,0
07/12/2010,15:00,0,0,0,0,0
07/12/2010,15:15,0,0,0,0,0
07/12/2010,15:30,0,0,0,0,0
07/12/2010,15:45,0,0,0,0,0
07/12/2010,16:00,0,0,0,0,0
07/12/2010,16:15,0,0,0,0,0
07/12/2010,16:30,0,0,0,0,0
07/12/2010,16:45,0,0,0,0,0
07/12/2010,17:00,0,0,0,0,0
07/12/2010,17:15,0,0,0,0,0
07/12/2010,17:30,0,0,0,0,0
07/12/2010,17:45,0,0,0,0,0
07/12/2010,18:00,0,0,0,0,0
07/12/2010,18:15,0,0,0,0,0
07/12/2010,18:30,0,0,0,0,0
07/12/2010,18:45,0,0,0,0,0
07/12/2010,19:00,0,0,0,0,0
07/12/2010,19:15,0,0,0,0,0
07/12/2010,19:30,0,0,0,0,0
07/12/2010,19:45,0,0,0,0,0
07/12/2010,20:00,1,1,0,0,0
07/12/2010,20:15,0,0,0,0,0
07/12/2010,20:30,0,0,0,0,0
07/12/2010,20:45,0,0,0,0,0
07/12/2010,21:00,0,0,0,0,0
07/12/2010,21:15,1,1,0,0,0
07/12/2010,21:30,0,0,0,0,0
07/12/2010,21:45,1,0,1,0,0
07/12/2010,22:00,10,0,0,5,5
07/12/2010,22:15,0,0,0,0,0
07/12/2010,22:30,0,0,0,0,0
07/12/2010,22:45,0,0,0,0,0
07/12/2010,23:00,0,0,0,0,0
07/12/2010,23:15,4,1,0,0,3
07/12/2010,23:30,10,0,0,7,3
07/12/2010,23:45,9,0,0,3,6
08/12/2010,00:00,9,0,0,4,5
08/12/2010,00:15,6,0,0,0,6
08/12/2010,00:30,6,0,0,2,4
08/12/2010,00:45,9,0,0,2,7
08/12/2010,01:00,8,1,0,3,4
08/12/2010,01:15,3,0,0,0,3
08/12/2010,01:30,2,0,0,0,2
08/12/2010,01:45,2,0,0,0,2
08/12/2010,02:00,1,0,0,0,1
08/12/2010,02:15,2,0,0,1,1
08/12/2010,02:30,3,0,2,1,0
08/12/2010,02:45,0,0,0,0,0
08/12/2010,03:00,3,0,0,1,2
08/12/2010,03:15,0,0,0,0,0
08/12/2010,03:30,1,0,0,0,1
08/12/2010,03:45,0,0,0,0,0
08/12/2010,04:00,1,1,0,0,0
08/12/2010,04:15,0,0,0,0,0
08/12/2010,04:30,2,0,2,0,0
08/12/2010,04:45,0,0,0,0,0
08/12/2010,05:00,1,0,1,0,0
08/12/2010,05:15,2,1,0,0,1
08/12/2010,05:30,1,0,0,1,0
08/12/2010,05:45,0,0,0,0,0
08/12/2010,06:00,0,0,0,0,0
08/12/2010,06:15,2,0,1,0,1
08/12/2010,06:30,2,0,2,0,0
08/12/2010,06:45,0,0,0,0,0
08/12/2010,07:00,0,0,0,0,0
08/12/2010,07:15,0,0,0,0,0
08/12/2010,07:30,1,1,0,0,0
08/12/2010,07:45,0,0,0,0,0
08/12/2010,08:00,0,0,0,0,0
08/12/2010,08:15,0,0,0,0,0
08/12/2010,08:30,1,1,0,0,0
08/12/2010,08:45,0,0,0,0,0
08/12/2010,09:00,0,0,0,0,0
08/12/2010,09:15,0,0,0,0,0
08/12/2010,09:30,0,0,0,0,0
08/12/2010,09:45,0,0,0,0,0
08/12/2010,10:00,0,0,0,0,0
08/12/2010,10:15,1,0,0,0,1
08/12/2010,10:30,0,0,0,0,0
08/12/2010,10:45,0,0,0,0,0
08/12/2010,11:00,0,0,0,0,0
08/12/2010,11:15,1,0,0,1,0
08/12/2010,11:30,1,0,0,1,0
