Date,,TR Island,TR Island Bridge Ped IN,TR Island Bridge Ped OUT,TR Island Bridge Bike IN,TR Island Bridge Bike OUT
14/10/2011,00:00,,,,,
14/10/2011,00:15,,,,,
14/10/2011,00:30,,,,,
14/10/2011,00:45,,,,,
14/10/2011,01:00,,,,,
14/10/2011,01:15,,,,,
14/10/2011,01:30,,,,,
14/10/2011,01:45,,,,,
14/10/2011,02:00,,,,,
14/10/2011,02:15,,,,,
14/10/2011,02:30,,,,,
14/10/2011,02:45,,,,,
14/10/2011,03:00,,,,,
14/10/2011,03:15,,,,,
14/10/2011,03:30,,,,,
14/10/2011,03:45,,,,,
14/10/2011,04:00,,,,,
14/10/2011,04:15,,,,,
14/10/2011,04:30,,,,,
14/10/2011,04:45,,,,,
14/10/2011,05:00,,,,,
14/10/2011,05:15,,,,,
14/10/2011,05:30,,,,,
14/10/2011,05:45,,,,,
14/10/2011,06:00,0,0,0,0,0
14/10/2011,06:15,0,0,0,0,0
14/10/2011,06:30,0,0,0,0,0
14/10/2011,06:45,0,0,0,0,0
14/10/2011,07:00,0,0,0,0,0
14/10/2011,07:15,0,0,0,0,0
14/10/2011,07:30,0,0,0,0,0
14/10/2011,07:45,0,0,0,0,0
14/10/2011,08:00,0,0,0,0,0
14/10/2011,08:15,0,0,0,0,0
14/10/2011,08:30,0,0,0,0,0
14/10/2011,08:45,0,0,0,0,0
14/10/2011,09:00,0,0,0,0,0
14/10/2011,09:15,0,0,0,0,0
14/10/2011,09:30,0,0,0,0,0
14/10/2011,09:45,0,0,0,0,0
14/10/2011,10:00,0,0,0,0,0
14/10/2011,10:15,0,0,0,0,0
14/10/2011,10:30,0,0,0,0,0
14/10/2011,10:45,0,0,0,0,0
14/10/2011,11:00,0,0,0,0,0
14/10/2011,11:15,0,0,0,0,0
14/10/2011,11:30,0,0,0,0,0
14/10/2011,11:45,0,0,0,0,0
14/10/2011,12:00,0,0,0,0,0
14/10/2011,12:15,0,0,0,0,0
14/10/2011,12:30,0,0,0,0,0
14/10/2011,12:45,0,0,0,0,0
14/10/2011,13:00,0,0,0,0,0
14/10/2011,13:15,0,0,0,0,0
14/10/2011,13:30,0,0,0,0,0
14/10/2011,13:45,0,0,0,0,0
14/10/2011,14:00,0,0,0,0,0
