Date,,WOD Bon Air East,WOD Bon Air East Ped IN,WOD Bon Air East Ped OUT,WOD Bon Air East Bike IN,WOD Bon Air East Bike OUT
21/01/2011,00:00,0,0,0,0,0
21/01/2011,00:15,0,0,0,0,0
21/01/2011,00:30,0,0,0,0,0
21/01/2011,00:45,2,2,0,0,0
21/01/2011,01:00,0,0,0,0,0
21/01/2011,01:15,0,0,0,0,0
21/01/2011,01:30,0,0,0,0,0
21/01/2011,01:45,0,0,0,0,0
21/01/2011,02:00,0,0,0,0,0
21/01/2011,02:15,0,0,0,0,0
21/01/2011,02:30,0,0,0,0,0
21/01/2011,02:45,0,0,0,0,0
21/01/2011,03:00,0,0,0,0,0
21/01/2011,03:15,0,0,0,0,0
21/01/2011,03:30,0,0,0,0,0
21/01/2011,03:45,0,0,0,0,0
21/01/2011,04:00,0,0,0,0,0
21/01/2011,04:15,0,0,0,0,0
21/01/2011,04:30,0,0,0,0,0
21/01/2011,04:45,0,0,0,0,0
21/01/2011,05:00,0,0,0,0,0
21/01/2011,05:15,0,0,0,0,0
21/01/2011,05:30,0,0,0,0,0
21/01/2011,05:45,0,0,0,0,0
21/01/2011,06:00,0,0,0,0,0
21/01/2011,06:15,0,0,0,0,0
21/01/2011,06:30,0,0,0,0,0
21/01/2011,06:45,0,0,0,0,0
21/01/2011,07:00,0,0,0,0,0
21/01/2011,07:15,0,0,0,0,0
21/01/2011,07:30,0,0,0,0,0
21/01/2011,07:45,0,0,0,0,0
21/01/2011,08:00,0,0,0,0,0
21/01/2011,08:15,0,0,0,0,0
21/01/2011,08:30,0,0,0,0,0
21/01/2011,08:45,0,0,0,0,0
21/01/2011,09:00,0,0,0,0,0
21/01/2011,09:15,0,0,0,0,0
21/01/2011,09:30,0,0,0,0,0
21/01/2011,09:45,0,0,0,0,0
21/01/2011,10:00,0,0,0,0,0
21/01/2011,10:15,0,0,0,0,0
21/01/2011,10:30,0,0,0,0,0
21/01/2011,10:45,0,0,0,0,0
21/01/2011,11:00,0,0,0,0,0
21/01/2011,11:15,0,0,0,0,0
21/01/2011,11:30,0,0,0,0,0
21/01/2011,11:45,0,0,0,0,0
21/01/2011,12:00,0,0,0,0,0
21/01/2011,12:15,0,0,0,0,0
21/01/2011,12:30,0,0,0,0,0
21/01/2011,12:45,0,0,0,0,0
21/01/2011,13:00,0,0,0,0,0
21/01/2011,13:15,0,0,0,0,0
21/01/2011,13:30,0,0,0,0,0
21/01/2011,13:45,2,2,0,0,0
21/01/2011,14:00,0,0,0,0,0
21/01/2011,14:15,0,0,0,0,0
21/01/2011,14:30,4,2,2,0,0
21/01/2011,14:45,18,14,4,0,0
21/01/2011,15:00,3,2,1,0,0
21/01/2011,15:15,11,8,3,0,0
21/01/2011,15:30,4,2,2,0,0
21/01/2011,15:45,11,7,4,0,0
21/01/2011,16:00,5,1,4,0,0
21/01/2011,16:15,1,1,0,0,0
21/01/2011,16:30,33,21,12,0,0
21/01/2011,16:45,14,8,6,0,0
