Date,,WOD Columbia Pike,WOD Colombia Pike Ped IN,WOD Colombia Pike Ped OUT,WOD Colombia Pike Bike IN,WOD Colombia Pike Bike OUT
14/10/2011,00:00,0,0,0,0,0
14/10/2011,00:15,0,0,0,0,0
14/10/2011,00:30,0,0,0,0,0
14/10/2011,00:45,0,0,0,0,0
14/10/2011,01:00,0,0,0,0,0
14/10/2011,01:15,0,0,0,0,0
14/10/2011,01:30,0,0,0,0,0
14/10/2011,01:45,0,0,0,0,0
14/10/2011,02:00,0,0,0,0,0
14/10/2011,02:15,0,0,0,0,0
14/10/2011,02:30,0,0,0,0,0
14/10/2011,02:45,0,0,0,0,0
14/10/2011,03:00,0,0,0,0,0
14/10/2011,03:15,0,0,0,0,0
14/10/2011,03:30,0,0,0,0,0
14/10/2011,03:45,0,0,0,0,0
14/10/2011,04:00,0,0,0,0,0
14/10/2011,04:15,0,0,0,0,0
14/10/2011,04:30,0,0,0,0,0
14/10/2011,04:45,0,0,0,0,0
14/10/2011,05:00,0,0,0,0,0
14/10/2011,05:15,0,0,0,0,0
14/10/2011,05:30,0,0,0,0,0
14/10/2011,05:45,0,0,0,0,0
14/10/2011,06:00,0,0,0,0,0
14/10/2011,06:15,0,0,0,0,0
14/10/2011,06:30,0,0,0,0,0
14/10/2011,06:45,0,0,0,0,0
14/10/2011,07:00,0,0,0,0,0
14/10/2011,07:15,0,0,0,0,0
14/10/2011,07:30,0,0,0,0,0
14/10/2011,07:45,0,0,0,0,0
14/10/2011,08:00,0,0,0,0,0
14/10/2011,08:15,0,0,0,0,0
14/10/2011,08:30,0,0,0,0,0
14/10/2011,08:45,0,0,0,0,0
14/10/2011,09:00,0,0,0,0,0
14/10/2011,09:15,0,0,0,0,0
14/10/2011,09:30,0,0,0,0,0
14/10/2011,09:45,0,0,0,0,0
14/10/2011,10:00,0,0,0,0,0
14/10/2011,10:15,0,0,0,0,0
14/10/2011,10:30,0,0,0,0,0
14/10/2011,10:45,0,0,0,0,0
14/10/2011,11:00,0,0,0,0,0
14/10/2011,11:15,0,0,0,0,0
14/10/2011,11:30,0,0,0,0,0
14/10/2011,11:45,0,0,0,0,0
14/10/2011,12:00,0,0,0,0,0
14/10/2011,12:15,0,0,0,0,0
14/10/2011,12:30,0,0,0,0,0
14/10/2011,12:45,0,0,0,0,0
14/10/2011,13:00,0,0,0,0,0
14/10/2011,13:15,0,0,0,0,0
14/10/2011,13:30,0,0,0,0,0
14/10/2011,13:45,3,0,0,1,2
14/10/2011,14:00,36,9,7,10,10
14/10/2011,14:15,13,0,2,8,3
14/10/2011,14:30,19,1,5,7,6
14/10/2011,14:45,9,3,2,1,3
14/10/2011,15:00,5,1,1,2,1
14/10/2011,15:15,13,3,4,3,3
14/10/2011,15:30,14,4,2,5,3
14/10/2011,15:45,18,5,4,4,5
14/10/2011,16:00,25,9,8,2,6
14/10/2011,16:15,20,6,6,6,2
14/10/2011,16:30,24,4,6,10,4
14/10/2011,16:45,25,6,4,10,5
14/10/2011,17:00,24,9,7,3,5
14/10/2011,17:15,29,11,6,7,5
14/10/2011,17:30,33,7,10,8,8
14/10/2011,17:45,27,10,5,5,7
14/10/2011,18:00,35,10,7,7,11
14/10/2011,18:15,30,9,8,6,7
14/10/2011,18:30,40,12,10,5,13
14/10/2011,18:45,24,3,5,11,5
14/10/2011,19:00,33,7,8,5,13
14/10/2011,19:15,10,2,4,1,3
14/10/2011,19:30,7,3,2,1,1
14/10/2011,19:45,1,0,0,0,1
14/10/2011,20:00,6,1,1,1,3
14/10/2011,20:15,5,0,0,4,1
14/10/2011,20:30,2,2,0,0,0
14/10/2011,20:45,2,1,0,0,1
14/10/2011,21:00,0,0,0,0,0
14/10/2011,21:15,1,0,0,1,0
14/10/2011,21:30,0,0,0,0,0
14/10/2011,21:45,1,1,0,0,0
14/10/2011,22:00,2,0,0,0,2
14/10/2011,22:15,0,0,0,0,0
14/10/2011,22:30,1,0,0,1,0
14/10/2011,22:45,1,0,1,0,0
14/10/2011,23:00,1,1,0,0,0
14/10/2011,23:15,0,0,0,0,0
14/10/2011,23:30,1,0,0,0,1
14/10/2011,23:45,0,0,0,0,0
15/10/2011,00:00,0,0,0,0,0
15/10/2011,00:15,0,0,0,0,0
15/10/2011,00:30,0,0,0,0,0
15/10/2011,00:45,0,0,0,0,0
15/10/2011,01:00,0,0,0,0,0
15/10/2011,01:15,0,0,0,0,0
15/10/2011,01:30,0,0,0,0,0
15/10/2011,01:45,0,0,0,0,0
15/10/2011,02:00,0,0,0,0,0
15/10/2011,02:15,0,0,0,0,0
15/10/2011,02:30,0,0,0,0,0
15/10/2011,02:45,0,0,0,0,0
15/10/2011,03:00,0,0,0,0,0
15/10/2011,03:15,0,0,0,0,0
15/10/2011,03:30,0,0,0,0,0
15/10/2011,03:45,0,0,0,0,0
15/10/2011,04:00,0,0,0,0,0
15/10/2011,04:15,0,0,0,0,0
15/10/2011,04:30,0,0,0,0,0
15/10/2011,04:45,0,0,0,0,0
15/10/2011,05:00,0,0,0,0,0
15/10/2011,05:15,4,3,0,1,0
15/10/2011,05:30,1,0,0,1,0
15/10/2011,05:45,0,0,0,0,0
15/10/2011,06:00,1,1,0,0,0
15/10/2011,06:15,1,0,0,1,0
15/10/2011,06:30,3,0,2,1,0
15/10/2011,06:45,3,1,0,2,0
