Date,,Custis Bon Air II,Custis Bon Air Ped IN,Custis Bon Air Ped OUT,Custis Bon Air Bike IN,Custis Bon Air Bike OUT
01/01/2011,00:00,0,0,0,0,0
01/01/2011,00:15,0,0,0,0,0
01/01/2011,00:30,0,0,0,0,0
01/01/2011,00:45,1,0,0,1,0
01/01/2011,01:00,0,0,0,0,0
01/01/2011,01:15,0,0,0,0,0
01/01/2011,01:30,0,0,0,0,0
01/01/2011,01:45,0,0,0,0,0
01/01/2011,02:00,0,0,0,0,0
01/01/2011,02:15,0,0,0,0,0
01/01/2011,02:30,0,0,0,0,0
01/01/2011,02:45,0,0,0,0,0
01/01/2011,03:00,0,0,0,0,0
01/01/2011,03:15,0,0,0,0,0
01/01/2011,03:30,0,0,0,0,0
01/01/2011,03:45,0,0,0,0,0
01/01/2011,04:00,0,0,0,0,0
01/01/2011,04:15,0,0,0,0,0
01/01/2011,04:30,2,2,0,0,0
01/01/2011,04:45,0,0,0,0,0
01/01/2011,05:00,0,0,0,0,0
01/01/2011,05:15,0,0,0,0,0
01/01/2011,05:30,0,0,0,0,0
01/01/2011,05:45,0,0,0,0,0
01/01/2011,06:00,0,0,0,0,0
01/01/2011,06:15,0,0,0,0,0
01/01/2011,06:30,0,0,0,0,0
01/01/2011,06:45,0,0,0,0,0
01/01/2011,07:00,1,1,0,0,0
01/01/2011,07:15,1,1,0,0,0
01/01/2011,07:30,1,0,1,0,0
01/01/2011,07:45,0,0,0,0,0
01/01/2011,08:00,2,2,0,0,0
01/01/2011,08:15,2,1,1,0,0
01/01/2011,08:30,3,1,2,0,0
01/01/2011,08:45,2,1,1,0,0
01/01/2011,09:00,5,2,1,1,1
01/01/2011,09:15,5,1,2,1,1
01/01/2011,09:30,10,1,5,4,0
01/01/2011,09:45,10,6,2,1,1
01/01/2011,10:00,3,0,1,1,1
01/01/2011,10:15,16,2,7,4,3
01/01/2011,10:30,10,5,1,2,2
01/01/2011,10:45,14,5,4,2,3
01/01/2011,11:00,9,2,3,1,3
01/01/2011,11:15,19,4,7,8,0
01/01/2011,11:30,19,6,4,5,4
01/01/2011,11:45,21,3,7,4,7
01/01/2011,12:00,21,5,6,6,4
01/01/2011,12:15,20,3,4,7,6
01/01/2011,12:30,25,6,6,6,7
01/01/2011,12:45,28,5,5,9,9
01/01/2011,13:00,20,1,2,8,9
01/01/2011,13:15,19,6,2,6,5
01/01/2011,13:30,20,5,5,4,6
01/01/2011,13:45,24,4,6,7,7
01/01/2011,14:00,32,6,11,7,8
01/01/2011,14:15,31,7,8,9,7
01/01/2011,14:30,24,6,4,3,11
01/01/2011,14:45,24,2,8,6,8
01/01/2011,15:00,25,3,5,16,1
01/01/2011,15:15,28,6,4,10,8
01/01/2011,15:30,26,5,7,5,9
01/01/2011,15:45,31,6,5,18,2
01/01/2011,16:00,24,6,0,11,7
01/01/2011,16:15,24,6,8,6,4
01/01/2011,16:30,22,8,4,6,4
01/01/2011,16:45,11,6,3,0,2
01/01/2011,17:00,16,5,7,0,4
01/01/2011,17:15,12,3,4,2,3
01/01/2011,17:30,9,3,5,0,1
01/01/2011,17:45,5,2,1,1,1
01/01/2011,18:00,4,1,3,0,0
01/01/2011,18:15,2,2,0,0,0
01/01/2011,18:30,0,0,0,0,0
01/01/2011,18:45,1,0,0,0,1
01/01/2011,19:00,0,0,0,0,0
01/01/2011,19:15,0,0,0,0,0
01/01/2011,19:30,0,0,0,0,0
01/01/2011,19:45,0,0,0,0,0
01/01/2011,20:00,0,0,0,0,0
01/01/2011,20:15,1,1,0,0,0
01/01/2011,20:30,0,0,0,0,0
01/01/2011,20:45,0,0,0,0,0
01/01/2011,21:00,0,0,0,0,0
01/01/2011,21:15,0,0,0,0,0
01/01/2011,21:30,0,0,0,0,0
01/01/2011,21:45,1,0,0,1,0
01/01/2011,22:00,0,0,0,0,0
01/01/2011,22:15,0,0,0,0,0
01/01/2011,22:30,0,0,0,0,0
01/01/2011,22:45,0,0,0,0,0
01/01/2011,23:00,0,0,0,0,0
01/01/2011,23:15,0,0,0,0,0
01/01/2011,23:30,0,0,0,0,0
01/01/2011,23:45,0,0,0,0,0
02/01/2011,00:00,0,0,0,0,0
02/01/2011,00:15,0,0,0,0,0
02/01/2011,00:30,0,0,0,0,0
02/01/2011,00:45,1,1,0,0,0
02/01/2011,01:00,0,0,0,0,0
02/01/2011,01:15,0,0,0,0,0
02/01/2011,01:30,0,0,0,0,0
02/01/2011,01:45,0,0,0,0,0
02/01/2011,02:00,0,0,0,0,0
02/01/2011,02:15,0,0,0,0,0
02/01/2011,02:30,0,0,0,0,0
02/01/2011,02:45,0,0,0,0,0
02/01/2011,03:00,0,0,0,0,0
02/01/2011,03:15,0,0,0,0,0
02/01/2011,03:30,0,0,0,0,0
02/01/2011,03:45,0,0,0,0,0
02/01/2011,04:00,0,0,0,0,0
02/01/2011,04:15,0,0,0,0,0
02/01/2011,04:30,0,0,0,0,0
02/01/2011,04:45,1,0,1,0,0
02/01/2011,05:00,0,0,0,0,0
02/01/2011,05:15,0,0,0,0,0
02/01/2011,05:30,0,0,0,0,0
02/01/2011,05:45,3,3,0,0,0
02/01/2011,06:00,0,0,0,0,0
02/01/2011,06:15,1,0,1,0,0
02/01/2011,06:30,1,1,0,0,0
02/01/2011,06:45,0,0,0,0,0
02/01/2011,07:00,2,1,1,0,0
02/01/2011,07:15,1,0,0,1,0
02/01/2011,07:30,5,3,2,0,0
02/01/2011,07:45,6,3,3,0,0
02/01/2011,08:00,4,1,2,1,0
02/01/2011,08:15,6,3,3,0,0
02/01/2011,08:30,16,4,6,5,1
02/01/2011,08:45,13,3,7,1,2
02/01/2011,09:00,36,10,24,0,2
02/01/2011,09:15,17,10,6,1,0
02/01/2011,09:30,20,9,9,2,0
02/01/2011,09:45,16,9,3,1,3
02/01/2011,10:00,10,1,7,1,1
02/01/2011,10:15,23,6,10,4,3
02/01/2011,10:30,17,8,5,1,3
02/01/2011,10:45,16,4,4,5,3
02/01/2011,11:00,23,14,6,2,1
02/01/2011,11:15,14,6,3,4,1
02/01/2011,11:30,13,6,3,2,2
02/01/2011,11:45,59,24,14,14,7
02/01/2011,12:00,16,2,9,4,1
02/01/2011,12:15,13,1,8,0,4
02/01/2011,12:30,13,4,5,0,4
02/01/2011,12:45,20,7,7,3,3
02/01/2011,13:00,9,5,3,0,1
02/01/2011,13:15,10,3,3,1,3
02/01/2011,13:30,10,1,2,5,2
02/01/2011,13:45,7,2,3,2,0
02/01/2011,14:00,5,1,3,1,0
02/01/2011,14:15,9,4,3,0,2
02/01/2011,14:30,10,3,4,2,1
02/01/2011,14:45,7,2,3,1,1
02/01/2011,15:00,5,2,2,0,1
02/01/2011,15:15,10,5,2,3,0
02/01/2011,15:30,15,6,5,2,2
02/01/2011,15:45,19,10,5,2,2
02/01/2011,16:00,16,4,5,3,4
02/01/2011,16:15,13,7,1,2,3
02/01/2011,16:30,6,3,1,1,1
02/01/2011,16:45,4,1,1,1,1
02/01/2011,17:00,5,2,2,1,0
02/01/2011,17:15,3,0,1,1,1
02/01/2011,17:30,2,1,1,0,0
02/01/2011,17:45,1,0,1,0,0
02/01/2011,18:00,0,0,0,0,0
02/01/2011,18:15,0,0,0,0,0
02/01/2011,18:30,1,0,0,0,1
02/01/2011,18:45,1,0,0,0,1
02/01/2011,19:00,1,1,0,0,0
02/01/2011,19:15,0,0,0,0,0
02/01/2011,19:30,0,0,0,0,0
02/01/2011,19:45,2,1,1,0,0
02/01/2011,20:00,0,0,0,0,0
02/01/2011,20:15,0,0,0,0,0
02/01/2011,20:30,0,0,0,0,0
02/01/2011,20:45,1,0,0,0,1
02/01/2011,21:00,0,0,0,0,0
02/01/2011,21:15,0,0,0,0,0
02/01/2011,21:30,0,0,0,0,0
02/01/2011,21:45,0,0,0,0,0
02/01/2011,22:00,0,0,0,0,0
02/01/2011,22:15,0,0,0,0,0
02/01/2011,22:30,0,0,0,0,0
02/01/2011,22:45,0,0,0,0,0
02/01/2011,23:00,0,0,0,0,0
02/01/2011,23:15,0,0,0,0,0
02/01/2011,23:30,0,0,0,0,0
02/01/2011,23:45,0,0,0,0,0
03/01/2011,00:00,0,0,0,0,0
03/01/2011,00:15,0,0,0,0,0
03/01/2011,00:30,1,1,0,0,0
03/01/2011,00:45,0,0,0,0,0
03/01/2011,01:00,0,0,0,0,0
03/01/2011,01:15,0,0,0,0,0
03/01/2011,01:30,0,0,0,0,0
03/01/2011,01:45,0,0,0,0,0
03/01/2011,02:00,0,0,0,0,0
03/01/2011,02:15,0,0,0,0,0
03/01/2011,02:30,0,0,0,0,0
03/01/2011,02:45,0,0,0,0,0
03/01/2011,03:00,0,0,0,0,0
03/01/2011,03:15,0,0,0,0,0
03/01/2011,03:30,0,0,0,0,0
03/01/2011,03:45,0,0,0,0,0
