Date,,Custis Rosslyn,Custis Rosslyn Ped,Custis Rosslyn Bike
01/01/2011,00:00,0,0,0
01/01/2011,00:15,1,0,1
01/01/2011,00:30,1,1,0
01/01/2011,00:45,1,1,0
01/01/2011,01:00,0,0,0
01/01/2011,01:15,4,1,3
01/01/2011,01:30,0,0,0
01/01/2011,01:45,0,0,0
01/01/2011,02:00,3,1,2
01/01/2011,02:15,0,0,0
01/01/2011,02:30,0,0,0
01/01/2011,02:45,0,0,0
01/01/2011,03:00,0,0,0
01/01/2011,03:15,1,1,0
01/01/2011,03:30,0,0,0
01/01/2011,03:45,1,0,1
01/01/2011,04:00,0,0,0
01/01/2011,04:15,0,0,0
01/01/2011,04:30,0,0,0
01/01/2011,04:45,1,0,1
01/01/2011,05:00,0,0,0
01/01/2011,05:15,0,0,0
01/01/2011,05:30,1,1,0
01/01/2011,05:45,0,0,0
01/01/2011,06:00,0,0,0
01/01/2011,06:15,0,0,0
01/01/2011,06:30,0,0,0
01/01/2011,06:45,1,1,0
01/01/2011,07:00,0,0,0
01/01/2011,07:15,0,0,0
01/01/2011,07:30,3,3,0
01/01/2011,07:45,1,1,0
01/01/2011,08:00,4,3,1
01/01/2011,08:15,11,11,0
01/01/2011,08:30,5,3,2
01/01/2011,08:45,4,3,1
01/01/2011,09:00,4,4,0
01/01/2011,09:15,9,5,4
01/01/2011,09:30,17,12,5
01/01/2011,09:45,9,7,2
01/01/2011,10:00,13,5,8
01/01/2011,10:15,17,11,6
01/01/2011,10:30,6,5,1
01/01/2011,10:45,15,4,11
01/01/2011,11:00,22,9,13
01/01/2011,11:15,9,4,5
01/01/2011,11:30,20,4,16
01/01/2011,11:45,25,9,16
01/01/2011,12:00,18,5,13
01/01/2011,12:15,31,15,16
01/01/2011,12:30,14,2,12
01/01/2011,12:45,24,11,13
01/01/2011,13:00,14,3,11
01/01/2011,13:15,19,8,11
01/01/2011,13:30,21,9,12
01/01/2011,13:45,21,9,12
01/01/2011,14:00,33,13,20
01/01/2011,14:15,20,6,14
01/01/2011,14:30,24,9,15
01/01/2011,14:45,23,5,18
01/01/2011,15:00,16,9,7
01/01/2011,15:15,21,3,18
01/01/2011,15:30,35,10,25
01/01/2011,15:45,33,5,28
01/01/2011,16:00,6,2,4
01/01/2011,16:15,20,9,11
01/01/2011,16:30,5,2,3
01/01/2011,16:45,11,5,6
01/01/2011,17:00,9,5,4
01/01/2011,17:15,5,5,0
01/01/2011,17:30,3,3,0
01/01/2011,17:45,3,3,0
01/01/2011,18:00,5,4,1
01/01/2011,18:15,5,2,3
01/01/2011,18:30,3,2,1
01/01/2011,18:45,1,1,0
01/01/2011,19:00,0,0,0
01/01/2011,19:15,1,1,0
01/01/2011,19:30,1,1,0
01/01/2011,19:45,0,0,0
01/01/2011,20:00,0,0,0
01/01/2011,20:15,1,0,1
01/01/2011,20:30,0,0,0
01/01/2011,20:45,1,1,0
01/01/2011,21:00,1,1,0
01/01/2011,21:15,0,0,0
01/01/2011,21:30,1,0,1
01/01/2011,21:45,0,0,0
01/01/2011,22:00,0,0,0
01/01/2011,22:15,0,0,0
01/01/2011,22:30,1,1,0
01/01/2011,22:45,0,0,0
01/01/2011,23:00,0,0,0
01/01/2011,23:15,1,0,1
01/01/2011,23:30,0,0,0
01/01/2011,23:45,1,1,0
02/01/2011,00:00,1,0,1
02/01/2011,00:15,0,0,0
02/01/2011,00:30,0,0,0
02/01/2011,00:45,0,0,0
02/01/2011,01:00,0,0,0
02/01/2011,01:15,1,1,0
02/01/2011,01:30,0,0,0
02/01/2011,01:45,1,1,0
02/01/2011,02:00,0,0,0
02/01/2011,02:15,0,0,0
02/01/2011,02:30,0,0,0
02/01/2011,02:45,0,0,0
02/01/2011,03:00,0,0,0
02/01/2011,03:15,2,2,0
02/01/2011,03:30,0,0,0
02/01/2011,03:45,0,0,0
02/01/2011,04:00,0,0,0
02/01/2011,04:15,0,0,0
02/01/2011,04:30,0,0,0
02/01/2011,04:45,0,0,0
02/01/2011,05:00,0,0,0
02/01/2011,05:15,0,0,0
02/01/2011,05:30,0,0,0
02/01/2011,05:45,0,0,0
02/01/2011,06:00,0,0,0
02/01/2011,06:15,0,0,0
02/01/2011,06:30,1,1,0
02/01/2011,06:45,0,0,0
02/01/2011,07:00,0,0,0
02/01/2011,07:15,3,3,0
02/01/2011,07:30,3,2,1
02/01/2011,07:45,3,3,0
02/01/2011,08:00,2,2,0
02/01/2011,08:15,5,4,1
02/01/2011,08:30,4,2,2
02/01/2011,08:45,9,5,4
02/01/2011,09:00,4,3,1
02/01/2011,09:15,4,4,0
02/01/2011,09:30,10,8,2
02/01/2011,09:45,11,9,2
02/01/2011,10:00,13,12,1
