Date,,Four Mile Run Pyro 04,Four Mile Run Pyro OUT,Four Mile Run Pyro IN
04/03/2011,00:00,3,3,0
04/03/2011,00:15,0,0,0
04/03/2011,00:30,0,0,0
04/03/2011,00:45,0,0,0
04/03/2011,01:00,0,0,0
04/03/2011,01:15,0,0,0
04/03/2011,01:30,0,0,0
04/03/2011,01:45,0,0,0
04/03/2011,02:00,0,0,0
04/03/2011,02:15,0,0,0
04/03/2011,02:30,0,0,0
04/03/2011,02:45,0,0,0
04/03/2011,03:00,0,0,0
04/03/2011,03:15,,,
04/03/2011,03:30,,,
04/03/2011,03:45,,,
04/03/2011,04:00,,,
04/03/2011,04:15,,,
04/03/2011,04:30,,,
04/03/2011,04:45,,,
04/03/2011,05:00,,,
04/03/2011,05:15,,,
04/03/2011,05:30,,,
04/03/2011,05:45,,,
04/03/2011,06:00,,,
04/03/2011,06:15,,,
04/03/2011,06:30,,,
04/03/2011,06:45,,,
04/03/2011,07:00,,,
04/03/2011,07:15,,,
04/03/2011,07:30,,,
04/03/2011,07:45,,,
04/03/2011,08:00,,,
04/03/2011,08:15,,,
04/03/2011,08:30,,,
04/03/2011,08:45,,,
04/03/2011,09:00,,,
04/03/2011,09:15,,,
04/03/2011,09:30,,,
04/03/2011,09:45,,,
04/03/2011,10:00,,,
04/03/2011,10:15,,,
04/03/2011,10:30,,,
04/03/2011,10:45,,,
04/03/2011,11:00,,,
04/03/2011,11:15,,,
04/03/2011,11:30,,,
04/03/2011,11:45,,,
04/03/2011,12:00,101,21,80
04/03/2011,12:15,0,0,0
04/03/2011,12:30,0,0,0
04/03/2011,12:45,0,0,0
04/03/2011,13:00,0,0,0
04/03/2011,13:15,0,0,0
04/03/2011,13:30,0,0,0
04/03/2011,13:45,0,0,0
04/03/2011,14:00,0,0,0
04/03/2011,14:15,0,0,0
04/03/2011,14:30,0,0,0
04/03/2011,14:45,0,0,0
04/03/2011,15:00,0,0,0
04/03/2011,15:15,0,0,0
04/03/2011,15:30,0,0,0
04/03/2011,15:45,0,0,0
04/03/2011,16:00,0,0,0
04/03/2011,16:15,0,0,0
04/03/2011,16:30,0,0,0
04/03/2011,16:45,0,0,0
04/03/2011,17:00,0,0,0
04/03/2011,17:15,0,0,0
04/03/2011,17:30,0,0,0
04/03/2011,17:45,0,0,0
04/03/2011,18:00,0,0,0
04/03/2011,18:15,0,0,0
04/03/2011,18:30,0,0,0
04/03/2011,18:45,0,0,0
04/03/2011,19:00,0,0,0
04/03/2011,19:15,0,0,0
04/03/2011,19:30,0,0,0
04/03/2011,19:45,0,0,0
04/03/2011,20:00,0,0,0
04/03/2011,20:15,0,0,0
04/03/2011,20:30,16,10,6
04/03/2011,20:45,15,15,0
04/03/2011,21:00,17,13,4
04/03/2011,21:15,29,26,3
04/03/2011,21:30,30,27,3
04/03/2011,21:45,26,21,5
04/03/2011,22:00,16,16,0
04/03/2011,22:15,25,18,7
04/03/2011,22:30,22,17,5
04/03/2011,22:45,13,11,2
04/03/2011,23:00,12,6,6
04/03/2011,23:15,10,4,6
04/03/2011,23:30,10,2,8
04/03/2011,23:45,7,3,4
05/03/2011,00:00,8,2,6
05/03/2011,00:15,14,3,11
05/03/2011,00:30,11,3,8
05/03/2011,00:45,12,6,6
05/03/2011,01:00,11,7,4
05/03/2011,01:15,16,7,9
05/03/2011,01:30,13,8,5
05/03/2011,01:45,29,20,9
05/03/2011,02:00,15,5,10
05/03/2011,02:15,25,18,7
05/03/2011,02:30,20,14,6
05/03/2011,02:45,15,10,5
05/03/2011,03:00,74,11,63
05/03/2011,03:15,0,0,0
05/03/2011,03:30,0,0,0
05/03/2011,03:45,0,0,0
05/03/2011,04:00,0,0,0
05/03/2011,04:15,0,0,0
05/03/2011,04:30,1,1,0
05/03/2011,04:45,0,0,0
05/03/2011,05:00,0,0,0
05/03/2011,05:15,1,1,0
05/03/2011,05:30,0,0,0
05/03/2011,05:45,2,2,0
05/03/2011,06:00,1,1,0
05/03/2011,06:15,7,6,1
05/03/2011,06:30,4,4,0
05/03/2011,06:45,5,2,3
05/03/2011,07:00,4,4,0
05/03/2011,07:15,5,2,3
05/03/2011,07:30,12,7,5
05/03/2011,07:45,14,9,5
05/03/2011,08:00,11,8,3
05/03/2011,08:15,11,6,5
05/03/2011,08:30,22,14,8
05/03/2011,08:45,13,3,10
05/03/2011,09:00,15,9,6
05/03/2011,09:15,7,5,2
05/03/2011,09:30,14,7,7
05/03/2011,09:45,23,9,14
05/03/2011,10:00,28,10,18
05/03/2011,10:15,16,9,7
05/03/2011,10:30,21,7,14
05/03/2011,10:45,20,11,9
05/03/2011,11:00,24,12,12
05/03/2011,11:15,23,11,12
05/03/2011,11:30,18,11,7
05/03/2011,11:45,23,14,9
05/03/2011,12:00,16,7,9
05/03/2011,12:15,22,10,12
05/03/2011,12:30,28,15,13
05/03/2011,12:45,36,14,22
05/03/2011,13:00,36,15,21
05/03/2011,13:15,45,25,20
05/03/2011,13:30,40,14,26
05/03/2011,13:45,27,18,9
05/03/2011,14:00,28,11,17
05/03/2011,14:15,27,16,11
05/03/2011,14:30,38,19,19
05/03/2011,14:45,51,29,22
05/03/2011,15:00,41,24,17
05/03/2011,15:15,48,27,21
05/03/2011,15:30,35,18,17
05/03/2011,15:45,29,18,11
05/03/2011,16:00,27,10,17
05/03/2011,16:15,22,12,10
05/03/2011,16:30,22,10,12
05/03/2011,16:45,17,10,7
05/03/2011,17:00,19,9,10
05/03/2011,17:15,13,5,8
05/03/2011,17:30,19,8,11
05/03/2011,17:45,11,6,5
05/03/2011,18:00,7,5,2
05/03/2011,18:15,3,2,1
05/03/2011,18:30,4,2,2
05/03/2011,18:45,2,1,1
05/03/2011,19:00,2,0,2
05/03/2011,19:15,1,1,0
05/03/2011,19:30,2,1,1
05/03/2011,19:45,0,0,0
05/03/2011,20:00,0,0,0
05/03/2011,20:15,1,1,0
05/03/2011,20:30,1,0,1
05/03/2011,20:45,3,1,2
05/03/2011,21:00,0,0,0
05/03/2011,21:15,1,0,1
05/03/2011,21:30,5,3,2
05/03/2011,21:45,0,0,0
05/03/2011,22:00,1,1,0
05/03/2011,22:15,1,0,1
05/03/2011,22:30,2,0,2
05/03/2011,22:45,1,0,1
05/03/2011,23:00,0,0,0
05/03/2011,23:15,2,2,0
05/03/2011,23:30,0,0,0
05/03/2011,23:45,0,0,0
06/03/2011,00:00,0,0,0
06/03/2011,00:15,1,0,1
06/03/2011,00:30,0,0,0
06/03/2011,00:45,1,0,1
06/03/2011,01:00,1,0,1
06/03/2011,01:15,0,0,0
06/03/2011,01:30,0,0,0
06/03/2011,01:45,0,0,0
06/03/2011,02:00,0,0,0
06/03/2011,02:15,0,0,0
06/03/2011,02:30,0,0,0
06/03/2011,02:45,0,0,0
06/03/2011,03:00,0,0,0
06/03/2011,03:15,0,0,0
06/03/2011,03:30,1,1,0
06/03/2011,03:45,0,0,0
06/03/2011,04:00,1,1,0
06/03/2011,04:15,0,0,0
06/03/2011,04:30,0,0,0
06/03/2011,04:45,2,1,1
06/03/2011,05:00,1,0,1
06/03/2011,05:15,0,0,0
06/03/2011,05:30,3,3,0
06/03/2011,05:45,0,0,0
06/03/2011,06:00,3,3,0
06/03/2011,06:15,0,0,0
06/03/2011,06:30,1,0,1
06/03/2011,06:45,0,0,0
06/03/2011,07:00,0,0,0
06/03/2011,07:15,1,1,0
06/03/2011,07:30,1,1,0
06/03/2011,07:45,2,2,0
06/03/2011,08:00,6,1,5
06/03/2011,08:15,2,0,2
06/03/2011,08:30,5,2,3
06/03/2011,08:45,5,3,2
06/03/2011,09:00,5,4,1
06/03/2011,09:15,16,6,10
06/03/2011,09:30,13,11,2
06/03/2011,09:45,7,4,3
06/03/2011,10:00,5,1,4
06/03/2011,10:15,7,5,2
06/03/2011,10:30,2,1,1
06/03/2011,10:45,3,1,2
06/03/2011,11:00,2,2,0
06/03/2011,11:15,3,1,2
06/03/2011,11:30,5,2,3
06/03/2011,11:45,6,5,1
06/03/2011,12:00,5,3,2
06/03/2011,12:15,3,3,0
06/03/2011,12:30,6,4,2
06/03/2011,12:45,6,1,5
06/03/2011,13:00,9,5,4
06/03/2011,13:15,8,4,4
06/03/2011,13:30,5,2,3
06/03/2011,13:45,3,1,2
06/03/2011,14:00,10,3,7
06/03/2011,14:15,8,4,4
06/03/2011,14:30,4,2,2
06/03/2011,14:45,1,0,1
06/03/2011,15:00,3,0,3
06/03/2011,15:15,1,1,0
06/03/2011,15:30,0,0,0
06/03/2011,15:45,1,1,0
06/03/2011,16:00,3,1,2
06/03/2011,16:15,0,0,0
06/03/2011,16:30,0,0,0
06/03/2011,16:45,1,1,0
06/03/2011,17:00,3,1,2
06/03/2011,17:15,1,0,1
06/03/2011,17:30,1,0,1
06/03/2011,17:45,2,0,2
06/03/2011,18:00,0,0,0
06/03/2011,18:15,3,2,1
06/03/2011,18:30,0,0,0
06/03/2011,18:45,1,1,0
06/03/2011,19:00,1,1,0
06/03/2011,19:15,0,0,0
06/03/2011,19:30,0,0,0
06/03/2011,19:45,0,0,0
06/03/2011,20:00,0,0,0
06/03/2011,20:15,0,0,0
06/03/2011,20:30,0,0,0
06/03/2011,20:45,1,0,1
06/03/2011,21:00,1,0,1
06/03/2011,21:15,0,0,0
06/03/2011,21:30,0,0,0
06/03/2011,21:45,1,0,1
06/03/2011,22:00,1,0,1
06/03/2011,22:15,0,0,0
06/03/2011,22:30,1,0,1
06/03/2011,22:45,1,0,1
06/03/2011,23:00,0,0,0
06/03/2011,23:15,0,0,0
06/03/2011,23:30,0,0,0
06/03/2011,23:45,0,0,0
07/03/2011,00:00,0,0,0
07/03/2011,00:15,0,0,0
07/03/2011,00:30,0,0,0
07/03/2011,00:45,0,0,0
07/03/2011,01:00,0,0,0
07/03/2011,01:15,2,2,0
07/03/2011,01:30,0,0,0
07/03/2011,01:45,0,0,0
07/03/2011,02:00,0,0,0
07/03/2011,02:15,0,0,0
07/03/2011,02:30,0,0,0
07/03/2011,02:45,0,0,0
07/03/2011,03:00,0,0,0
07/03/2011,03:15,0,0,0
07/03/2011,03:30,1,1,0
