Date,,Key Bridge East,Key Bridge East Ped IN,Key Bridge East Ped OUT,Key Bridge East Bike IN,Key Bridge East Bike OUT
12/08/2011,00:00,21,12,3,4,2
12/08/2011,00:15,13,5,5,3,0
12/08/2011,00:30,14,9,2,3,0
12/08/2011,00:45,9,5,1,3,0
12/08/2011,01:00,10,9,1,0,0
12/08/2011,01:15,16,4,1,6,5
12/08/2011,01:30,7,2,3,2,0
12/08/2011,01:45,4,1,1,2,0
12/08/2011,02:00,5,4,0,1,0
12/08/2011,02:15,2,1,0,0,1
12/08/2011,02:30,3,1,2,0,0
12/08/2011,02:45,3,1,1,1,0
12/08/2011,03:00,2,2,0,0,0
12/08/2011,03:15,6,3,0,2,1
12/08/2011,03:30,3,1,1,1,0
12/08/2011,03:45,0,0,0,0,0
12/08/2011,04:00,0,0,0,0,0
12/08/2011,04:15,1,0,0,1,0
12/08/2011,04:30,2,0,1,0,1
12/08/2011,04:45,1,1,0,0,0
12/08/2011,05:00,2,0,0,0,2
12/08/2011,05:15,4,2,2,0,0
12/08/2011,05:30,1,0,0,1,0
12/08/2011,05:45,3,1,1,1,0
12/08/2011,06:00,3,2,1,0,0
12/08/2011,06:15,6,0,5,0,1
12/08/2011,06:30,6,2,3,0,1
12/08/2011,06:45,10,2,4,2,2
12/08/2011,07:00,23,7,8,0,8
12/08/2011,07:15,20,4,13,0,3
12/08/2011,07:30,27,12,4,1,10
12/08/2011,07:45,47,8,25,3,11
12/08/2011,08:00,38,14,12,6,6
12/08/2011,08:15,59,14,26,7,12
12/08/2011,08:30,57,12,21,4,20
12/08/2011,08:45,76,18,27,10,21
12/08/2011,09:00,68,16,11,15,26
12/08/2011,09:15,66,18,29,5,14
12/08/2011,09:30,83,24,26,9,24
12/08/2011,09:45,71,8,28,8,27
12/08/2011,10:00,42,8,17,4,13
12/08/2011,10:15,43,7,16,4,16
12/08/2011,10:30,41,13,13,7,8
12/08/2011,10:45,45,13,15,6,11
12/08/2011,11:00,39,8,19,3,9
12/08/2011,11:15,26,2,16,0,8
12/08/2011,11:30,34,4,13,2,15
12/08/2011,11:45,41,12,15,3,11
12/08/2011,12:00,26,6,15,2,3
12/08/2011,12:15,43,6,25,5,7
12/08/2011,12:30,39,13,17,4,5
12/08/2011,12:45,41,12,16,4,9
12/08/2011,13:00,58,15,31,5,7
12/08/2011,13:15,66,14,31,4,17
12/08/2011,13:30,71,16,36,8,11
12/08/2011,13:45,59,27,22,4,6
12/08/2011,14:00,48,26,14,3,5
12/08/2011,14:15,46,23,17,0,6
12/08/2011,14:30,58,27,19,3,9
12/08/2011,14:45,65,17,27,9,12
12/08/2011,15:00,54,22,18,3,11
12/08/2011,15:15,40,15,13,5,7
12/08/2011,15:30,45,15,14,10,6
12/08/2011,15:45,50,12,21,2,15
12/08/2011,16:00,53,17,17,3,16
12/08/2011,16:15,55,13,24,3,15
12/08/2011,16:30,72,26,24,9,13
12/08/2011,16:45,49,18,16,8,7
12/08/2011,17:00,43,18,13,5,7
12/08/2011,17:15,75,18,33,5,19
12/08/2011,17:30,65,19,18,7,21
12/08/2011,17:45,74,16,34,14,10
12/08/2011,18:00,62,22,18,10,12
12/08/2011,18:15,88,28,31,8,21
12/08/2011,18:30,106,34,35,11,26
12/08/2011,18:45,108,34,38,16,20
12/08/2011,19:00,92,32,36,6,18
12/08/2011,19:15,96,32,32,17,15
12/08/2011,19:30,89,30,27,14,18
12/08/2011,19:45,93,38,21,18,16
12/08/2011,20:00,79,30,31,9,9
12/08/2011,20:15,75,25,26,13,11
12/08/2011,20:30,73,25,22,16,10
12/08/2011,20:45,73,28,31,8,6
12/08/2011,21:00,56,16,22,3,15
12/08/2011,21:15,94,44,28,12,10
12/08/2011,21:30,45,17,17,6,5
12/08/2011,21:45,61,32,19,6,4
12/08/2011,22:00,59,33,20,4,2
12/08/2011,22:15,48,29,15,4,0
12/08/2011,22:30,47,25,20,1,1
12/08/2011,22:45,49,21,21,2,5
12/08/2011,23:00,44,26,13,1,4
12/08/2011,23:15,46,25,20,1,0
12/08/2011,23:30,54,16,24,2,12
12/08/2011,23:45,28,16,6,4,2
13/08/2011,00:00,34,20,6,8,0
13/08/2011,00:15,27,10,8,7,2
13/08/2011,00:30,25,14,3,7,1
13/08/2011,00:45,26,17,5,3,1
13/08/2011,01:00,7,5,1,0,1
13/08/2011,01:15,10,6,1,1,2
13/08/2011,01:30,17,11,3,3,0
13/08/2011,01:45,23,13,9,1,0
13/08/2011,02:00,12,5,4,2,1
13/08/2011,02:15,6,3,0,2,1
13/08/2011,02:30,4,1,2,1,0
13/08/2011,02:45,12,8,3,1,0
13/08/2011,03:00,3,0,1,2,0
13/08/2011,03:15,12,12,0,0,0
13/08/2011,03:30,5,4,0,1,0
13/08/2011,03:45,5,4,0,0,1
13/08/2011,04:00,5,1,2,2,0
13/08/2011,04:15,4,3,0,1,0
13/08/2011,04:30,5,2,0,1,2
13/08/2011,04:45,2,1,1,0,0
13/08/2011,05:00,2,2,0,0,0
13/08/2011,05:15,1,1,0,0,0
13/08/2011,05:30,1,1,0,0,0
13/08/2011,05:45,3,0,1,2,0
13/08/2011,06:00,3,1,2,0,0
13/08/2011,06:15,5,3,1,0,1
13/08/2011,06:30,3,1,2,0,0
13/08/2011,06:45,5,1,4,0,0
13/08/2011,07:00,26,3,22,1,0
13/08/2011,07:15,44,4,38,0,2
13/08/2011,07:30,41,6,32,1,2
13/08/2011,07:45,28,11,12,2,3
13/08/2011,08:00,48,5,35,1,7
13/08/2011,08:15,43,11,21,1,10
13/08/2011,08:30,48,11,25,3,9
13/08/2011,08:45,67,25,19,7,16
13/08/2011,09:00,64,27,24,5,8
13/08/2011,09:15,55,15,20,6,14
13/08/2011,09:30,66,23,27,1,15
13/08/2011,09:45,71,22,29,3,17
13/08/2011,10:00,70,26,25,4,15
13/08/2011,10:15,54,13,14,2,25
13/08/2011,10:30,73,18,22,10,23
13/08/2011,10:45,79,17,27,12,23
13/08/2011,11:00,83,22,32,12,17
13/08/2011,11:15,52,19,19,0,14
13/08/2011,11:30,62,14,24,3,21
13/08/2011,11:45,82,25,26,5,26
13/08/2011,12:00,86,32,22,15,17
13/08/2011,12:15,66,12,17,10,27
13/08/2011,12:30,52,15,15,5,17
13/08/2011,12:45,87,23,43,7,14
13/08/2011,13:00,61,12,21,7,21
13/08/2011,13:15,59,13,15,11,20
13/08/2011,13:30,87,14,32,18,23
13/08/2011,13:45,77,20,25,9,23
13/08/2011,14:00,77,10,28,26,13
13/08/2011,14:15,30,8,13,2,7
13/08/2011,14:30,71,17,20,15,19
13/08/2011,14:45,49,15,24,4,6
13/08/2011,15:00,46,12,12,16,6
13/08/2011,15:15,39,13,13,4,9
13/08/2011,15:30,37,21,9,1,6
13/08/2011,15:45,51,18,19,3,11
13/08/2011,16:00,45,19,14,6,6
13/08/2011,16:15,48,18,17,6,7
13/08/2011,16:30,57,17,29,4,7
13/08/2011,16:45,36,11,18,0,7
13/08/2011,17:00,58,26,17,6,9
13/08/2011,17:15,52,21,12,9,10
13/08/2011,17:30,30,6,10,6,8
13/08/2011,17:45,53,19,19,5,10
13/08/2011,18:00,43,19,17,2,5
13/08/2011,18:15,47,18,14,4,11
13/08/2011,18:30,48,22,23,2,1
13/08/2011,18:45,49,17,25,3,4
13/08/2011,19:00,48,16,21,7,4
13/08/2011,19:15,39,17,14,1,7
13/08/2011,19:30,46,14,30,0,2
13/08/2011,19:45,37,12,17,3,5
13/08/2011,20:00,51,18,24,6,3
13/08/2011,20:15,48,18,19,8,3
13/08/2011,20:30,56,20,29,5,2
13/08/2011,20:45,45,19,21,3,2
13/08/2011,21:00,35,16,18,0,1
13/08/2011,21:15,28,15,12,0,1
13/08/2011,21:30,25,15,9,1,0
13/08/2011,21:45,24,11,11,1,1
13/08/2011,22:00,47,32,9,5,1
13/08/2011,22:15,36,20,16,0,0
13/08/2011,22:30,24,16,7,1,0
13/08/2011,22:45,26,13,9,1,3
13/08/2011,23:00,26,22,3,1,0
13/08/2011,23:15,24,12,11,1,0
13/08/2011,23:30,16,5,8,2,1
13/08/2011,23:45,27,16,5,4,2
14/08/2011,00:00,30,18,7,5,0
14/08/2011,00:15,13,8,3,2,0
14/08/2011,00:30,10,3,6,1,0
14/08/2011,00:45,22,12,6,1,3
14/08/2011,01:00,9,3,3,3,0
14/08/2011,01:15,8,3,1,3,1
14/08/2011,01:30,12,7,3,2,0
14/08/2011,01:45,9,6,0,3,0
14/08/2011,02:00,12,7,1,2,2
14/08/2011,02:15,12,9,0,3,0
14/08/2011,02:30,7,1,0,6,0
14/08/2011,02:45,7,4,0,2,1
