Date,,Key Bridge West,Key Bridge West Ped IN,Key Bridge West Ped OUT,Key Bridge West Bike IN,Key Bridge West Bike OUT
11/08/2011,00:00,,,,,
11/08/2011,00:15,,,,,
11/08/2011,00:30,,,,,
11/08/2011,00:45,,,,,
11/08/2011,01:00,,,,,
11/08/2011,01:15,,,,,
11/08/2011,01:30,,,,,
11/08/2011,01:45,,,,,
11/08/2011,02:00,,,,,
11/08/2011,02:15,,,,,
11/08/2011,02:30,,,,,
11/08/2011,02:45,,,,,
11/08/2011,03:00,,,,,
11/08/2011,03:15,,,,,
11/08/2011,03:30,,,,,
11/08/2011,03:45,,,,,
11/08/2011,04:00,,,,,
11/08/2011,04:15,,,,,
11/08/2011,04:30,,,,,
11/08/2011,04:45,,,,,
11/08/2011,05:00,1,1,0,0,0
11/08/2011,05:15,1,1,0,0,0
11/08/2011,05:30,8,1,5,1,1
11/08/2011,05:45,4,1,1,0,2
11/08/2011,06:00,7,0,3,1,3
11/08/2011,06:15,13,4,6,3,0
11/08/2011,06:30,12,1,5,3,3
11/08/2011,06:45,28,7,8,8,5
11/08/2011,07:00,20,4,1,7,8
11/08/2011,07:15,13,3,5,3,2
11/08/2011,07:30,31,9,12,8,2
11/08/2011,07:45,30,3,5,12,10
11/08/2011,08:00,36,8,15,9,4
11/08/2011,08:15,38,5,12,11,10
11/08/2011,08:30,44,6,16,14,8
11/08/2011,08:45,31,3,8,11,9
11/08/2011,09:00,32,7,11,6,8
11/08/2011,09:15,25,0,8,13,4
11/08/2011,09:30,20,0,5,10,5
11/08/2011,09:45,13,2,4,5,2
11/08/2011,10:00,18,3,7,6,2
11/08/2011,10:15,15,2,8,2,3
11/08/2011,10:30,9,3,0,4,2
11/08/2011,10:45,7,4,0,0,3
11/08/2011,11:00,15,2,5,3,5
11/08/2011,11:15,18,4,6,8,0
11/08/2011,11:30,10,2,3,2,3
11/08/2011,11:45,13,4,5,2,2
11/08/2011,12:00,22,8,11,1,2
11/08/2011,12:15,19,7,9,3,0
11/08/2011,12:30,18,5,3,9,1
11/08/2011,12:45,36,18,11,6,1
11/08/2011,13:00,22,11,8,1,2
11/08/2011,13:15,12,7,5,0,0
11/08/2011,13:30,15,4,7,3,1
11/08/2011,13:45,16,3,5,7,1
11/08/2011,14:00,16,4,5,2,5
11/08/2011,14:15,10,2,4,4,0
11/08/2011,14:30,14,4,2,7,1
11/08/2011,14:45,26,6,8,10,2
11/08/2011,15:00,19,9,2,7,1
11/08/2011,15:15,14,7,4,2,1
11/08/2011,15:30,13,8,1,3,1
11/08/2011,15:45,24,13,3,6,2
11/08/2011,16:00,21,4,3,13,1
11/08/2011,16:15,23,7,3,12,1
11/08/2011,16:30,29,8,10,10,1
11/08/2011,16:45,23,10,1,7,5
11/08/2011,17:00,50,26,7,13,4
11/08/2011,17:15,60,23,15,16,6
11/08/2011,17:30,49,16,7,18,8
11/08/2011,17:45,74,27,26,19,2
11/08/2011,18:00,64,19,9,27,9
11/08/2011,18:15,54,17,14,18,5
11/08/2011,18:30,52,18,9,21,4
11/08/2011,18:45,71,19,20,26,6
11/08/2011,19:00,53,18,16,12,7
11/08/2011,19:15,54,17,17,8,12
11/08/2011,19:30,50,17,17,6,10
11/08/2011,19:45,43,15,22,6,0
11/08/2011,20:00,40,17,6,11,6
11/08/2011,20:15,26,13,7,6,0
11/08/2011,20:30,20,11,5,4,0
11/08/2011,20:45,28,19,5,3,1
11/08/2011,21:00,23,16,4,2,1
11/08/2011,21:15,29,16,3,10,0
11/08/2011,21:30,18,12,3,3,0
11/08/2011,21:45,20,15,2,3,0
11/08/2011,22:00,12,7,2,3,0
11/08/2011,22:15,6,1,2,3,0
11/08/2011,22:30,10,2,1,5,2
11/08/2011,22:45,12,6,1,5,0
11/08/2011,23:00,10,6,1,3,0
11/08/2011,23:15,8,4,0,2,2
11/08/2011,23:30,9,4,1,4,0
11/08/2011,23:45,7,0,1,5,1
12/08/2011,00:00,0,0,0,0,0
12/08/2011,00:15,3,0,0,2,1
12/08/2011,00:30,4,2,2,0,0
12/08/2011,00:45,3,3,0,0,0
12/08/2011,01:00,6,0,2,3,1
12/08/2011,01:15,1,0,0,1,0
12/08/2011,01:30,2,2,0,0,0
12/08/2011,01:45,1,1,0,0,0
12/08/2011,02:00,1,1,0,0,0
12/08/2011,02:15,2,1,0,1,0
12/08/2011,02:30,1,0,0,1,0
12/08/2011,02:45,2,0,0,2,0
12/08/2011,03:00,0,0,0,0,0
12/08/2011,03:15,0,0,0,0,0
12/08/2011,03:30,2,1,1,0,0
12/08/2011,03:45,0,0,0,0,0
12/08/2011,04:00,0,0,0,0,0
12/08/2011,04:15,0,0,0,0,0
12/08/2011,04:30,2,0,0,2,0
12/08/2011,04:45,2,1,0,0,1
12/08/2011,05:00,1,1,0,0,0
12/08/2011,05:15,2,1,0,0,1
12/08/2011,05:30,3,0,1,2,0
12/08/2011,05:45,5,1,3,0,1
12/08/2011,06:00,14,6,6,2,0
12/08/2011,06:15,9,3,0,5,1
12/08/2011,06:30,11,3,5,3,0
12/08/2011,06:45,14,1,3,3,7
12/08/2011,07:00,21,8,4,8,1
12/08/2011,07:15,19,2,10,5,2
12/08/2011,07:30,29,10,5,10,4
12/08/2011,07:45,29,7,10,7,5
