Date,,MVT Airport South,MVT Airport South Ped IN,MVT Airport South Ped OUT,MVT Airport South Bike IN,MVT Airport South Bike OUT
01/09/2011,00:00,0,0,0,0,0
01/09/2011,00:15,0,0,0,0,0
01/09/2011,00:30,1,0,0,0,1
01/09/2011,00:45,0,0,0,0,0
01/09/2011,01:00,0,0,0,0,0
01/09/2011,01:15,3,0,3,0,0
01/09/2011,01:30,0,0,0,0,0
01/09/2011,01:45,0,0,0,0,0
01/09/2011,02:00,0,0,0,0,0
01/09/2011,02:15,0,0,0,0,0
01/09/2011,02:30,1,0,0,0,1
01/09/2011,02:45,0,0,0,0,0
01/09/2011,03:00,0,0,0,0,0
01/09/2011,03:15,1,0,0,1,0
01/09/2011,03:30,1,0,0,1,0
01/09/2011,03:45,1,0,0,0,1
01/09/2011,04:00,0,0,0,0,0
01/09/2011,04:15,2,1,1,0,0
01/09/2011,04:30,1,0,0,1,0
01/09/2011,04:45,4,0,0,3,1
01/09/2011,05:00,5,1,2,1,1
01/09/2011,05:15,7,3,0,2,2
01/09/2011,05:30,17,4,2,11,0
01/09/2011,05:45,18,5,5,8,0
01/09/2011,06:00,17,3,1,13,0
01/09/2011,06:15,35,3,5,22,5
01/09/2011,06:30,57,6,7,37,7
01/09/2011,06:45,67,6,8,49,4
01/09/2011,07:00,76,6,7,52,11
01/09/2011,07:15,76,4,5,65,2
01/09/2011,07:30,74,9,3,58,4
01/09/2011,07:45,71,4,0,61,6
01/09/2011,08:00,64,2,2,53,7
01/09/2011,08:15,53,4,1,44,4
01/09/2011,08:30,60,2,0,53,5
01/09/2011,08:45,45,7,1,35,2
01/09/2011,09:00,41,2,0,34,5
01/09/2011,09:15,31,2,2,25,2
01/09/2011,09:30,24,3,0,15,6
01/09/2011,09:45,24,3,2,14,5
01/09/2011,10:00,30,3,2,12,13
01/09/2011,10:15,32,1,1,15,15
01/09/2011,10:30,24,1,3,8,12
01/09/2011,10:45,24,0,5,10,9
01/09/2011,11:00,23,2,4,9,8
01/09/2011,11:15,32,2,3,10,17
01/09/2011,11:30,56,1,2,20,33
01/09/2011,11:45,33,3,1,11,18
01/09/2011,12:00,38,7,3,12,16
01/09/2011,12:15,30,3,7,9,11
01/09/2011,12:30,28,6,2,12,8
01/09/2011,12:45,44,9,10,9,16
01/09/2011,13:00,24,2,1,11,10
01/09/2011,13:15,22,4,3,9,6
01/09/2011,13:30,38,2,6,14,16
01/09/2011,13:45,21,1,1,9,10
01/09/2011,14:00,19,2,4,4,9
01/09/2011,14:15,18,4,2,3,9
01/09/2011,14:30,22,2,2,9,9
01/09/2011,14:45,13,0,2,5,6
01/09/2011,15:00,21,1,2,12,6
01/09/2011,15:15,26,7,6,6,7
01/09/2011,15:30,37,6,6,5,20
01/09/2011,15:45,16,1,2,4,9
01/09/2011,16:00,30,0,0,13,17
01/09/2011,16:15,39,2,2,13,22
01/09/2011,16:30,63,5,3,13,42
01/09/2011,16:45,59,4,3,22,30
01/09/2011,17:00,66,3,5,18,40
01/09/2011,17:15,66,6,8,14,38
01/09/2011,17:30,80,6,9,15,50
01/09/2011,17:45,94,4,7,22,61
01/09/2011,18:00,107,5,7,26,69
01/09/2011,18:15,126,10,9,42,65
01/09/2011,18:30,106,7,9,32,58
01/09/2011,18:45,88,13,8,23,44
01/09/2011,19:00,80,7,6,29,38
01/09/2011,19:15,72,13,12,17,30
01/09/2011,19:30,54,9,3,18,24
01/09/2011,19:45,61,6,6,22,27
01/09/2011,20:00,32,6,5,4,17
01/09/2011,20:15,8,0,0,1,7
01/09/2011,20:30,11,0,1,4,6
01/09/2011,20:45,6,0,3,0,3
01/09/2011,21:00,4,1,0,1,2
01/09/2011,21:15,1,0,0,1,0
01/09/2011,21:30,3,0,0,1,2
01/09/2011,21:45,3,0,0,1,2
01/09/2011,22:00,5,0,0,3,2
01/09/2011,22:15,4,0,1,1,2
01/09/2011,22:30,1,0,0,0,1
01/09/2011,22:45,3,0,0,0,3
01/09/2011,23:00,1,0,0,0,1
01/09/2011,23:15,1,0,0,1,0
01/09/2011,23:30,0,0,0,0,0
01/09/2011,23:45,0,0,0,0,0
02/09/2011,00:00,1,0,0,0,1
02/09/2011,00:15,0,0,0,0,0
02/09/2011,00:30,1,0,0,0,1
02/09/2011,00:45,0,0,0,0,0
02/09/2011,01:00,0,0,0,0,0
02/09/2011,01:15,0,0,0,0,0
02/09/2011,01:30,2,0,0,1,1
02/09/2011,01:45,0,0,0,0,0
02/09/2011,02:00,0,0,0,0,0
02/09/2011,02:15,0,0,0,0,0
02/09/2011,02:30,0,0,0,0,0
02/09/2011,02:45,0,0,0,0,0
02/09/2011,03:00,0,0,0,0,0
02/09/2011,03:15,0,0,0,0,0
02/09/2011,03:30,0,0,0,0,0
02/09/2011,03:45,0,0,0,0,0
02/09/2011,04:00,0,0,0,0,0
02/09/2011,04:15,0,0,0,0,0
02/09/2011,04:30,1,1,0,0,0
02/09/2011,04:45,1,0,0,1,0
02/09/2011,05:00,3,1,1,1,0
02/09/2011,05:15,6,4,1,1,0
02/09/2011,05:30,7,0,2,4,1
02/09/2011,05:45,12,3,4,5,0
02/09/2011,06:00,14,3,1,10,0
02/09/2011,06:15,30,4,2,22,2
02/09/2011,06:30,39,5,7,19,8
02/09/2011,06:45,39,6,1,28,4
02/09/2011,07:00,61,14,6,40,1
02/09/2011,07:15,80,7,5,60,8
02/09/2011,07:30,58,2,5,38,13
02/09/2011,07:45,69,10,4,46,9
02/09/2011,08:00,49,3,1,36,9
02/09/2011,08:15,63,7,5,43,8
02/09/2011,08:30,70,3,5,50,12
02/09/2011,08:45,35,1,5,24,5
02/09/2011,09:00,48,4,2,29,13
02/09/2011,09:15,36,4,1,21,10
02/09/2011,09:30,33,4,7,14,8
02/09/2011,09:45,34,2,3,18,11
02/09/2011,10:00,36,3,7,8,18
