Date,,CC Connector,CC Connector Ped IN,CC Connector Ped OUT,CC Connector Bike IN,CC Connector Bike OUT
01/01/2012,00:00,0,0,0,0,0
01/01/2012,00:15,0,0,0,0,0
01/01/2012,00:30,1,0,0,1,0
01/01/2012,00:45,0,0,0,0,0
01/01/2012,01:00,0,0,0,0,0
01/01/2012,01:15,0,0,0,0,0
01/01/2012,01:30,0,0,0,0,0
01/01/2012,01:45,0,0,0,0,0
01/01/2012,02:00,0,0,0,0,0
01/01/2012,02:15,0,0,0,0,0
01/01/2012,02:30,0,0,0,0,0
01/01/2012,02:45,0,0,0,0,0
01/01/2012,03:00,0,0,0,0,0
01/01/2012,03:15,0,0,0,0,0
01/01/2012,03:30,1,1,0,0,0
01/01/2012,03:45,1,0,0,1,0
01/01/2012,04:00,0,0,0,0,0
01/01/2012,04:15,2,0,2,0,0
01/01/2012,04:30,1,0,0,0,1
01/01/2012,04:45,0,0,0,0,0
01/01/2012,05:00,3,1,1,0,1
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,0,0,0,0,0
01/01/2012,05:45,0,0,0,0,0
01/01/2012,06:00,0,0,0,0,0
01/01/2012,06:15,0,0,0,0,0
01/01/2012,06:30,2,1,1,0,0
01/01/2012,06:45,1,0,0,0,1
01/01/2012,07:00,1,1,0,0,0
01/01/2012,07:15,2,0,2,0,0
01/01/2012,07:30,3,1,2,0,0
01/01/2012,07:45,1,0,0,1,0
01/01/2012,08:00,1,1,0,0,0
01/01/2012,08:15,3,1,2,0,0
01/01/2012,08:30,5,2,2,0,1
01/01/2012,08:45,1,0,1,0,0
01/01/2012,09:00,5,3,2,0,0
01/01/2012,09:15,9,1,7,0,1
01/01/2012,09:30,6,1,1,2,2
01/01/2012,09:45,6,2,2,0,2
01/01/2012,10:00,9,3,5,1,0
01/01/2012,10:15,8,0,5,0,3
01/01/2012,10:30,10,4,2,2,2
01/01/2012,10:45,8,1,4,1,2
01/01/2012,11:00,12,4,6,1,1
01/01/2012,11:15,18,3,7,0,8
01/01/2012,11:30,17,5,11,1,0
01/01/2012,11:45,20,6,7,2,5
01/01/2012,12:00,26,6,7,6,7
01/01/2012,12:15,34,7,11,6,10
01/01/2012,12:30,26,11,5,5,5
01/01/2012,12:45,38,16,9,7,6
01/01/2012,13:00,19,8,4,4,3
01/01/2012,13:15,21,9,6,4,2
01/01/2012,13:30,22,5,7,5,5
01/01/2012,13:45,28,6,7,6,9
01/01/2012,14:00,22,4,8,6,4
01/01/2012,14:15,31,10,4,4,13
01/01/2012,14:30,26,7,7,10,2
01/01/2012,14:45,24,9,5,9,1
01/01/2012,15:00,14,3,4,4,3
01/01/2012,15:15,31,5,6,8,12
01/01/2012,15:30,12,5,3,2,2
01/01/2012,15:45,18,7,6,4,1
01/01/2012,16:00,11,5,5,1,0
01/01/2012,16:15,15,6,2,1,6
01/01/2012,16:30,18,8,4,6,0
01/01/2012,16:45,6,4,0,2,0
01/01/2012,17:00,7,5,1,1,0
01/01/2012,17:15,4,2,1,1,0
01/01/2012,17:30,1,1,0,0,0
01/01/2012,17:45,0,0,0,0,0
01/01/2012,18:00,1,0,1,0,0
01/01/2012,18:15,3,2,1,0,0
01/01/2012,18:30,0,0,0,0,0
01/01/2012,18:45,0,0,0,0,0
01/01/2012,19:00,0,0,0,0,0
01/01/2012,19:15,0,0,0,0,0
01/01/2012,19:30,0,0,0,0,0
01/01/2012,19:45,1,1,0,0,0
01/01/2012,20:00,1,0,1,0,0
01/01/2012,20:15,1,0,0,1,0
01/01/2012,20:30,0,0,0,0,0
01/01/2012,20:45,0,0,0,0,0
01/01/2012,21:00,2,1,1,0,0
01/01/2012,21:15,0,0,0,0,0
01/01/2012,21:30,0,0,0,0,0
01/01/2012,21:45,2,2,0,0,0
01/01/2012,22:00,0,0,0,0,0
01/01/2012,22:15,2,0,1,1,0
01/01/2012,22:30,0,0,0,0,0
01/01/2012,22:45,4,2,1,0,1
01/01/2012,23:00,0,0,0,0,0
01/01/2012,23:15,0,0,0,0,0
01/01/2012,23:30,0,0,0,0,0
01/01/2012,23:45,1,1,0,0,0
02/01/2012,00:00,0,0,0,0,0
02/01/2012,00:15,1,0,0,1,0
02/01/2012,00:30,0,0,0,0,0
02/01/2012,00:45,0,0,0,0,0
02/01/2012,01:00,1,1,0,0,0
02/01/2012,01:15,0,0,0,0,0
02/01/2012,01:30,0,0,0,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,0,0,0,0,0
02/01/2012,02:15,0,0,0,0,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,0,0,0,0,0
02/01/2012,03:00,1,1,0,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,0,0,0,0,0
02/01/2012,03:45,0,0,0,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,1,0,1,0,0
02/01/2012,04:30,0,0,0,0,0
02/01/2012,04:45,0,0,0,0,0
02/01/2012,05:00,1,1,0,0,0
02/01/2012,05:15,0,0,0,0,0
02/01/2012,05:30,0,0,0,0,0
02/01/2012,05:45,3,1,0,1,1
02/01/2012,06:00,1,0,0,0,1
02/01/2012,06:15,0,0,0,0,0
02/01/2012,06:30,2,2,0,0,0
02/01/2012,06:45,0,0,0,0,0
02/01/2012,07:00,1,0,1,0,0
02/01/2012,07:15,2,0,2,0,0
02/01/2012,07:30,2,0,2,0,0
02/01/2012,07:45,3,2,1,0,0
02/01/2012,08:00,5,2,0,0,3
02/01/2012,08:15,5,1,3,0,1
02/01/2012,08:30,4,0,2,2,0
02/01/2012,08:45,8,0,8,0,0
02/01/2012,09:00,7,1,4,0,2
02/01/2012,09:15,13,4,6,0,3
02/01/2012,09:30,8,3,4,0,1
02/01/2012,09:45,8,6,2,0,0
02/01/2012,10:00,10,3,4,2,1
02/01/2012,10:15,7,1,2,1,3
02/01/2012,10:30,15,6,5,3,1
02/01/2012,10:45,6,2,2,2,0
02/01/2012,11:00,6,3,3,0,0
02/01/2012,11:15,8,5,2,0,1
02/01/2012,11:30,6,1,3,1,1
02/01/2012,11:45,9,5,3,0,1
02/01/2012,12:00,11,4,5,1,1
02/01/2012,12:15,15,4,6,2,3
02/01/2012,12:30,12,8,3,1,0
02/01/2012,12:45,14,2,7,3,2
02/01/2012,13:00,11,3,3,2,3
02/01/2012,13:15,12,6,5,1,0
02/01/2012,13:30,4,0,1,2,1
02/01/2012,13:45,10,2,3,4,1
02/01/2012,14:00,10,7,1,2,0
02/01/2012,14:15,8,1,6,0,1
02/01/2012,14:30,7,1,3,0,3
02/01/2012,14:45,14,6,2,4,2
02/01/2012,15:00,10,3,1,2,4
