Date,,Custis Bon Air II,Custis Bon Air Ped IN,Custis Bon Air Ped OUT,Custis Bon Air Bike IN,Custis Bon Air Bike OUT
01/01/2012,00:00,0,0,0,0,0
01/01/2012,00:15,1,1,0,0,0
01/01/2012,00:30,1,0,1,0,0
01/01/2012,00:45,0,0,0,0,0
01/01/2012,01:00,0,0,0,0,0
01/01/2012,01:15,0,0,0,0,0
01/01/2012,01:30,1,1,0,0,0
01/01/2012,01:45,0,0,0,0,0
01/01/2012,02:00,0,0,0,0,0
01/01/2012,02:15,0,0,0,0,0
01/01/2012,02:30,1,1,0,0,0
01/01/2012,02:45,0,0,0,0,0
01/01/2012,03:00,0,0,0,0,0
01/01/2012,03:15,0,0,0,0,0
01/01/2012,03:30,0,0,0,0,0
01/01/2012,03:45,0,0,0,0,0
01/01/2012,04:00,0,0,0,0,0
01/01/2012,04:15,0,0,0,0,0
01/01/2012,04:30,3,3,0,0,0
01/01/2012,04:45,0,0,0,0,0
01/01/2012,05:00,0,0,0,0,0
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,0,0,0,0,0
01/01/2012,05:45,0,0,0,0,0
01/01/2012,06:00,0,0,0,0,0
01/01/2012,06:15,1,1,0,0,0
01/01/2012,06:30,0,0,0,0,0
01/01/2012,06:45,1,1,0,0,0
01/01/2012,07:00,1,0,1,0,0
01/01/2012,07:15,2,1,1,0,0
01/01/2012,07:30,2,1,1,0,0
01/01/2012,07:45,2,1,1,0,0
01/01/2012,08:00,4,2,1,1,0
01/01/2012,08:15,7,2,1,4,0
01/01/2012,08:30,6,2,3,0,1
01/01/2012,08:45,6,2,1,2,1
01/01/2012,09:00,13,5,4,2,2
01/01/2012,09:15,12,5,2,2,3
01/01/2012,09:30,13,6,4,1,2
01/01/2012,09:45,16,3,6,3,4
01/01/2012,10:00,15,4,2,3,6
01/01/2012,10:15,20,5,4,4,7
01/01/2012,10:30,19,3,3,8,5
01/01/2012,10:45,25,5,6,8,6
01/01/2012,11:00,32,11,11,3,7
01/01/2012,11:15,29,8,6,12,3
01/01/2012,11:30,26,5,9,2,10
01/01/2012,11:45,38,12,7,9,10
01/01/2012,12:00,21,4,0,6,11
01/01/2012,12:15,47,13,8,16,10
01/01/2012,12:30,34,6,13,10,5
01/01/2012,12:45,35,6,6,14,9
01/01/2012,13:00,44,7,8,16,13
01/01/2012,13:15,38,5,4,16,13
01/01/2012,13:30,43,14,3,16,10
01/01/2012,13:45,54,7,4,26,17
01/01/2012,14:00,49,10,4,21,14
01/01/2012,14:15,45,6,4,19,16
01/01/2012,14:30,48,7,8,14,19
01/01/2012,14:45,34,6,6,11,11
01/01/2012,15:00,30,3,4,11,12
01/01/2012,15:15,26,6,2,12,6
01/01/2012,15:30,23,7,2,11,3
01/01/2012,15:45,23,8,5,7,3
01/01/2012,16:00,20,3,3,7,7
01/01/2012,16:15,41,9,11,4,17
01/01/2012,16:30,23,9,5,6,3
01/01/2012,16:45,26,8,7,8,3
01/01/2012,17:00,5,1,3,1,0
01/01/2012,17:15,2,1,1,0,0
01/01/2012,17:30,3,2,0,0,1
01/01/2012,17:45,0,0,0,0,0
01/01/2012,18:00,1,0,1,0,0
01/01/2012,18:15,0,0,0,0,0
01/01/2012,18:30,3,0,0,0,3
01/01/2012,18:45,2,0,0,2,0
01/01/2012,19:00,0,0,0,0,0
01/01/2012,19:15,0,0,0,0,0
01/01/2012,19:30,0,0,0,0,0
01/01/2012,19:45,0,0,0,0,0
01/01/2012,20:00,0,0,0,0,0
01/01/2012,20:15,0,0,0,0,0
01/01/2012,20:30,0,0,0,0,0
01/01/2012,20:45,0,0,0,0,0
01/01/2012,21:00,1,0,1,0,0
01/01/2012,21:15,1,1,0,0,0
01/01/2012,21:30,0,0,0,0,0
01/01/2012,21:45,0,0,0,0,0
01/01/2012,22:00,0,0,0,0,0
01/01/2012,22:15,0,0,0,0,0
01/01/2012,22:30,1,0,0,0,1
01/01/2012,22:45,0,0,0,0,0
01/01/2012,23:00,0,0,0,0,0
01/01/2012,23:15,0,0,0,0,0
01/01/2012,23:30,0,0,0,0,0
01/01/2012,23:45,0,0,0,0,0
02/01/2012,00:00,0,0,0,0,0
02/01/2012,00:15,0,0,0,0,0
02/01/2012,00:30,0,0,0,0,0
02/01/2012,00:45,0,0,0,0,0
02/01/2012,01:00,0,0,0,0,0
02/01/2012,01:15,0,0,0,0,0
02/01/2012,01:30,0,0,0,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,0,0,0,0,0
02/01/2012,02:15,0,0,0,0,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,0,0,0,0,0
02/01/2012,03:00,0,0,0,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,0,0,0,0,0
02/01/2012,03:45,0,0,0,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,1,1,0,0,0
02/01/2012,04:30,0,0,0,0,0
02/01/2012,04:45,0,0,0,0,0
02/01/2012,05:00,0,0,0,0,0
02/01/2012,05:15,0,0,0,0,0
02/01/2012,05:30,0,0,0,0,0
02/01/2012,05:45,2,0,0,2,0
02/01/2012,06:00,2,1,1,0,0
02/01/2012,06:15,2,2,0,0,0
02/01/2012,06:30,1,0,0,1,0
02/01/2012,06:45,0,0,0,0,0
02/01/2012,07:00,3,1,2,0,0
02/01/2012,07:15,5,2,3,0,0
02/01/2012,07:30,5,1,3,0,1
02/01/2012,07:45,8,1,3,4,0
02/01/2012,08:00,14,8,4,1,1
02/01/2012,08:15,10,6,2,2,0
02/01/2012,08:30,13,4,6,1,2
02/01/2012,08:45,9,2,5,2,0
02/01/2012,09:00,12,3,5,3,1
02/01/2012,09:15,15,6,4,2,3
02/01/2012,09:30,23,10,6,3,4
02/01/2012,09:45,13,5,2,3,3
02/01/2012,10:00,16,5,5,4,2
02/01/2012,10:15,17,4,9,1,3
02/01/2012,10:30,23,5,12,5,1
02/01/2012,10:45,15,5,6,3,1
02/01/2012,11:00,19,5,6,4,4
02/01/2012,11:15,20,8,4,4,4
02/01/2012,11:30,12,7,1,2,2
02/01/2012,11:45,10,2,2,4,2
02/01/2012,12:00,11,3,3,4,1
02/01/2012,12:15,20,7,9,3,1
02/01/2012,12:30,10,2,4,1,3
02/01/2012,12:45,15,6,3,4,2
02/01/2012,13:00,14,8,5,0,1
