Date,,Custis Rosslyn,Custis Rosslyn Ped,Custis Rosslyn Bike
01/01/2012,00:00,0,0,0
01/01/2012,00:15,0,0,0
01/01/2012,00:30,1,1,0
01/01/2012,00:45,0,0,0
01/01/2012,01:00,0,0,0
01/01/2012,01:15,1,1,0
01/01/2012,01:30,0,0,0
01/01/2012,01:45,0,0,0
01/01/2012,02:00,0,0,0
01/01/2012,02:15,0,0,0
01/01/2012,02:30,0,0,0
01/01/2012,02:45,0,0,0
01/01/2012,03:00,0,0,0
01/01/2012,03:15,0,0,0
01/01/2012,03:30,1,1,0
01/01/2012,03:45,2,1,1
01/01/2012,04:00,0,0,0
01/01/2012,04:15,0,0,0
01/01/2012,04:30,0,0,0
01/01/2012,04:45,0,0,0
01/01/2012,05:00,1,0,1
01/01/2012,05:15,2,2,0
01/01/2012,05:30,0,0,0
01/01/2012,05:45,0,0,0
01/01/2012,06:00,0,0,0
01/01/2012,06:15,0,0,0
01/01/2012,06:30,0,0,0
01/01/2012,06:45,0,0,0
01/01/2012,07:00,1,1,0
01/01/2012,07:15,1,1,0
01/01/2012,07:30,0,0,0
01/01/2012,07:45,2,1,1
01/01/2012,08:00,2,2,0
01/01/2012,08:15,3,2,1
01/01/2012,08:30,8,4,4
01/01/2012,08:45,6,3,3
01/01/2012,09:00,8,5,3
01/01/2012,09:15,8,5,3
01/01/2012,09:30,4,2,2
01/01/2012,09:45,13,8,5
01/01/2012,10:00,16,6,10
01/01/2012,10:15,15,6,9
01/01/2012,10:30,19,11,8
01/01/2012,10:45,29,14,15
01/01/2012,11:00,20,3,17
01/01/2012,11:15,18,7,11
01/01/2012,11:30,37,16,21
01/01/2012,11:45,29,5,24
01/01/2012,12:00,30,12,18
01/01/2012,12:15,26,14,12
01/01/2012,12:30,44,12,32
01/01/2012,12:45,26,11,15
01/01/2012,13:00,30,11,19
01/01/2012,13:15,34,9,25
01/01/2012,13:30,38,13,25
01/01/2012,13:45,40,11,29
01/01/2012,14:00,41,9,32
01/01/2012,14:15,50,13,37
01/01/2012,14:30,40,18,22
01/01/2012,14:45,29,5,24
01/01/2012,15:00,38,13,25
01/01/2012,15:15,20,5,15
01/01/2012,15:30,25,9,16
01/01/2012,15:45,18,6,12
01/01/2012,16:00,14,6,8
01/01/2012,16:15,27,19,8
01/01/2012,16:30,20,9,11
01/01/2012,16:45,21,12,9
01/01/2012,17:00,6,4,2
01/01/2012,17:15,7,3,4
01/01/2012,17:30,6,4,2
01/01/2012,17:45,5,4,1
01/01/2012,18:00,1,1,0
01/01/2012,18:15,4,0,4
01/01/2012,18:30,4,4,0
01/01/2012,18:45,2,1,1
01/01/2012,19:00,0,0,0
01/01/2012,19:15,2,2,0
01/01/2012,19:30,1,1,0
01/01/2012,19:45,1,0,1
01/01/2012,20:00,3,3,0
01/01/2012,20:15,0,0,0
01/01/2012,20:30,2,2,0
01/01/2012,20:45,4,4,0
01/01/2012,21:00,1,1,0
01/01/2012,21:15,1,0,1
01/01/2012,21:30,0,0,0
01/01/2012,21:45,1,1,0
01/01/2012,22:00,2,1,1
01/01/2012,22:15,1,1,0
01/01/2012,22:30,1,1,0
01/01/2012,22:45,1,0,1
01/01/2012,23:00,0,0,0
01/01/2012,23:15,0,0,0
01/01/2012,23:30,0,0,0
01/01/2012,23:45,0,0,0
02/01/2012,00:00,0,0,0
02/01/2012,00:15,0,0,0
02/01/2012,00:30,0,0,0
02/01/2012,00:45,0,0,0
02/01/2012,01:00,0,0,0
02/01/2012,01:15,0,0,0
02/01/2012,01:30,0,0,0
02/01/2012,01:45,1,0,1
02/01/2012,02:00,0,0,0
02/01/2012,02:15,1,0,1
02/01/2012,02:30,0,0,0
02/01/2012,02:45,0,0,0
02/01/2012,03:00,0,0,0
02/01/2012,03:15,0,0,0
02/01/2012,03:30,1,0,1
02/01/2012,03:45,0,0,0
02/01/2012,04:00,0,0,0
02/01/2012,04:15,1,1,0
02/01/2012,04:30,0,0,0
02/01/2012,04:45,1,1,0
02/01/2012,05:00,0,0,0
02/01/2012,05:15,0,0,0
02/01/2012,05:30,0,0,0
02/01/2012,05:45,0,0,0
02/01/2012,06:00,2,1,1
02/01/2012,06:15,0,0,0
02/01/2012,06:30,0,0,0
02/01/2012,06:45,0,0,0
02/01/2012,07:00,3,1,2
02/01/2012,07:15,1,0,1
02/01/2012,07:30,3,1,2
02/01/2012,07:45,5,5,0
02/01/2012,08:00,7,6,1
02/01/2012,08:15,8,5,3
02/01/2012,08:30,3,1,2
02/01/2012,08:45,5,2,3
02/01/2012,09:00,14,4,10
02/01/2012,09:15,6,4,2
02/01/2012,09:30,17,10,7
02/01/2012,09:45,12,5,7
02/01/2012,10:00,17,13,4
02/01/2012,10:15,11,9,2
02/01/2012,10:30,15,9,6
02/01/2012,10:45,6,3,3
02/01/2012,11:00,15,12,3
02/01/2012,11:15,8,4,4
02/01/2012,11:30,15,12,3
02/01/2012,11:45,21,13,8
02/01/2012,12:00,10,9,1
02/01/2012,12:15,11,5,6
02/01/2012,12:30,18,10,8
02/01/2012,12:45,12,6,6
02/01/2012,13:00,13,8,5
02/01/2012,13:15,21,14,7
02/01/2012,13:30,12,6,6
02/01/2012,13:45,22,15,7
02/01/2012,14:00,17,9,8
02/01/2012,14:15,12,6,6
02/01/2012,14:30,9,6,3
02/01/2012,14:45,12,7,5
02/01/2012,15:00,16,7,9
02/01/2012,15:15,12,6,6
02/01/2012,15:30,7,4,3
02/01/2012,15:45,11,8,3
02/01/2012,16:00,8,6,2
02/01/2012,16:15,12,9,3
02/01/2012,16:30,11,8,3
02/01/2012,16:45,19,4,15
02/01/2012,17:00,8,4,4
02/01/2012,17:15,5,2,3
02/01/2012,17:30,8,2,6
02/01/2012,17:45,2,0,2
02/01/2012,18:00,2,1,1
02/01/2012,18:15,1,0,1
02/01/2012,18:30,7,2,5
02/01/2012,18:45,1,0,1
02/01/2012,19:00,0,0,0
02/01/2012,19:15,1,1,0
02/01/2012,19:30,4,3,1
02/01/2012,19:45,2,1,1
02/01/2012,20:00,1,1,0
02/01/2012,20:15,5,4,1
