Date,,Key Bridge East,Key Bridge East Ped IN,Key Bridge East Ped OUT,Key Bridge East Bike IN,Key Bridge East Bike OUT
01/01/2012,00:00,16,3,13,0,0
01/01/2012,00:15,8,2,5,0,1
01/01/2012,00:30,17,6,10,0,1
01/01/2012,00:45,15,6,7,2,0
01/01/2012,01:00,15,9,5,1,0
01/01/2012,01:15,4,1,1,2,0
01/01/2012,01:30,6,2,3,0,1
01/01/2012,01:45,4,1,3,0,0
01/01/2012,02:00,4,2,2,0,0
01/01/2012,02:15,3,0,3,0,0
01/01/2012,02:30,9,2,5,1,1
01/01/2012,02:45,11,7,4,0,0
01/01/2012,03:00,6,1,1,2,2
01/01/2012,03:15,3,1,2,0,0
01/01/2012,03:30,6,4,2,0,0
01/01/2012,03:45,4,2,1,0,1
01/01/2012,04:00,2,1,1,0,0
01/01/2012,04:15,4,2,0,1,1
01/01/2012,04:30,0,0,0,0,0
01/01/2012,04:45,2,0,1,0,1
01/01/2012,05:00,1,1,0,0,0
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,2,2,0,0,0
01/01/2012,05:45,3,2,1,0,0
01/01/2012,06:00,5,2,2,1,0
01/01/2012,06:15,0,0,0,0,0
01/01/2012,06:30,1,1,0,0,0
01/01/2012,06:45,0,0,0,0,0
01/01/2012,07:00,1,0,0,0,1
01/01/2012,07:15,4,2,2,0,0
01/01/2012,07:30,5,3,1,1,0
01/01/2012,07:45,12,7,3,1,1
01/01/2012,08:00,5,2,1,1,1
01/01/2012,08:15,11,6,4,1,0
01/01/2012,08:30,10,1,6,1,2
01/01/2012,08:45,14,4,6,1,3
01/01/2012,09:00,19,13,5,0,1
01/01/2012,09:15,14,9,5,0,0
01/01/2012,09:30,22,12,4,4,2
01/01/2012,09:45,19,5,6,4,4
01/01/2012,10:00,15,3,5,2,5
01/01/2012,10:15,31,12,12,3,4
01/01/2012,10:30,27,9,6,4,8
01/01/2012,10:45,33,15,7,4,7
01/01/2012,11:00,33,15,11,4,3
01/01/2012,11:15,38,17,14,5,2
01/01/2012,11:30,42,18,12,8,4
01/01/2012,11:45,46,17,19,5,5
01/01/2012,12:00,53,14,17,8,14
01/01/2012,12:15,58,20,23,9,6
01/01/2012,12:30,54,18,21,10,5
01/01/2012,12:45,70,23,28,6,13
01/01/2012,13:00,60,26,12,11,11
01/01/2012,13:15,49,15,13,9,12
01/01/2012,13:30,61,20,25,9,7
01/01/2012,13:45,41,9,18,6,8
01/01/2012,14:00,52,15,13,11,13
01/01/2012,14:15,58,18,10,18,12
01/01/2012,14:30,40,9,16,8,7
01/01/2012,14:45,44,9,17,10,8
01/01/2012,15:00,67,13,25,10,19
01/01/2012,15:15,42,16,16,5,5
01/01/2012,15:30,67,17,30,8,12
01/01/2012,15:45,49,16,22,6,5
01/01/2012,16:00,61,19,20,13,9
01/01/2012,16:15,80,21,26,13,20
01/01/2012,16:30,44,15,18,5,6
01/01/2012,16:45,38,21,14,1,2
01/01/2012,17:00,34,18,13,1,2
01/01/2012,17:15,27,14,9,2,2
01/01/2012,17:30,23,11,7,3,2
01/01/2012,17:45,12,7,3,2,0
01/01/2012,18:00,16,8,8,0,0
01/01/2012,18:15,20,8,7,3,2
01/01/2012,18:30,18,9,3,4,2
01/01/2012,18:45,20,7,12,1,0
01/01/2012,19:00,16,7,7,2,0
01/01/2012,19:15,15,8,6,0,1
01/01/2012,19:30,14,3,8,0,3
01/01/2012,19:45,12,4,2,1,5
01/01/2012,20:00,14,7,5,1,1
01/01/2012,20:15,8,3,4,0,1
01/01/2012,20:30,12,3,7,2,0
01/01/2012,20:45,12,5,6,0,1
01/01/2012,21:00,7,5,2,0,0
01/01/2012,21:15,3,2,1,0,0
01/01/2012,21:30,14,8,4,1,1
01/01/2012,21:45,1,1,0,0,0
01/01/2012,22:00,9,5,4,0,0
01/01/2012,22:15,8,1,4,2,1
01/01/2012,22:30,8,3,2,3,0
01/01/2012,22:45,4,0,1,2,1
01/01/2012,23:00,1,0,1,0,0
01/01/2012,23:15,1,1,0,0,0
01/01/2012,23:30,5,0,5,0,0
01/01/2012,23:45,2,1,0,1,0
02/01/2012,00:00,4,0,1,0,3
02/01/2012,00:15,3,2,0,1,0
02/01/2012,00:30,4,2,0,2,0
02/01/2012,00:45,7,5,2,0,0
02/01/2012,01:00,5,3,0,1,1
02/01/2012,01:15,4,3,1,0,0
02/01/2012,01:30,1,0,1,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,5,1,3,1,0
02/01/2012,02:15,2,1,0,1,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,1,1,0,0,0
02/01/2012,03:00,1,0,1,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,3,2,1,0,0
02/01/2012,03:45,0,0,0,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,1,0,1,0,0
02/01/2012,04:30,0,0,0,0,0
