Date,,MVT Airport South,MVT Airport South Ped IN,MVT Airport South Ped OUT,MVT Airport South Bike IN,MVT Airport South Bike OUT
01/01/2012,00:00,0,0,0,0,0
01/01/2012,00:15,0,0,0,0,0
01/01/2012,00:30,0,0,0,0,0
01/01/2012,00:45,0,0,0,0,0
01/01/2012,01:00,0,0,0,0,0
01/01/2012,01:15,1,0,0,0,1
01/01/2012,01:30,0,0,0,0,0
01/01/2012,01:45,0,0,0,0,0
01/01/2012,02:00,1,0,1,0,0
01/01/2012,02:15,0,0,0,0,0
01/01/2012,02:30,0,0,0,0,0
01/01/2012,02:45,0,0,0,0,0
01/01/2012,03:00,0,0,0,0,0
01/01/2012,03:15,0,0,0,0,0
01/01/2012,03:30,1,0,0,0,1
01/01/2012,03:45,0,0,0,0,0
01/01/2012,04:00,0,0,0,0,0
01/01/2012,04:15,0,0,0,0,0
01/01/2012,04:30,0,0,0,0,0
01/01/2012,04:45,0,0,0,0,0
01/01/2012,05:00,0,0,0,0,0
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,0,0,0,0,0
01/01/2012,05:45,0,0,0,0,0
01/01/2012,06:00,0,0,0,0,0
01/01/2012,06:15,0,0,0,0,0
01/01/2012,06:30,1,0,1,0,0
01/01/2012,06:45,1,1,0,0,0
01/01/2012,07:00,0,0,0,0,0
01/01/2012,07:15,1,0,0,1,0
01/01/2012,07:30,5,3,1,1,0
01/01/2012,07:45,2,0,1,1,0
01/01/2012,08:00,6,0,1,5,0
01/01/2012,08:15,5,0,1,1,3
01/01/2012,08:30,7,2,2,1,2
01/01/2012,08:45,5,1,1,2,1
01/01/2012,09:00,13,3,3,3,4
01/01/2012,09:15,19,4,2,11,2
01/01/2012,09:30,15,4,3,5,3
01/01/2012,09:45,16,5,5,3,3
01/01/2012,10:00,31,6,7,8,10
01/01/2012,10:15,23,4,5,10,4
01/01/2012,10:30,44,2,7,22,13
01/01/2012,10:45,40,9,4,15,12
01/01/2012,11:00,32,7,3,13,9
01/01/2012,11:15,38,5,3,19,11
01/01/2012,11:30,70,11,10,23,26
01/01/2012,11:45,59,12,13,24,10
01/01/2012,12:00,56,9,3,20,24
01/01/2012,12:15,57,5,6,24,22
01/01/2012,12:30,59,3,3,25,28
01/01/2012,12:45,104,9,13,47,35
01/01/2012,13:00,74,7,4,34,29
01/01/2012,13:15,68,6,4,22,36
01/01/2012,13:30,55,3,6,20,26
01/01/2012,13:45,68,4,7,25,32
01/01/2012,14:00,89,8,7,28,46
01/01/2012,14:15,96,9,9,27,51
01/01/2012,14:30,76,9,7,31,29
01/01/2012,14:45,82,3,7,26,46
01/01/2012,15:00,70,4,4,38,24
01/01/2012,15:15,63,9,4,20,30
01/01/2012,15:30,45,9,3,13,20
01/01/2012,15:45,56,4,6,30,16
01/01/2012,16:00,48,7,4,16,21
01/01/2012,16:15,43,5,2,11,25
01/01/2012,16:30,30,3,8,11,8
01/01/2012,16:45,23,2,3,11,7
01/01/2012,17:00,13,2,4,6,1
01/01/2012,17:15,9,0,2,5,2
01/01/2012,17:30,5,0,1,1,3
01/01/2012,17:45,1,0,0,0,1
01/01/2012,18:00,4,0,2,0,2
01/01/2012,18:15,4,0,1,1,2
01/01/2012,18:30,0,0,0,0,0
01/01/2012,18:45,1,0,0,0,1
01/01/2012,19:00,0,0,0,0,0
01/01/2012,19:15,0,0,0,0,0
01/01/2012,19:30,2,0,0,2,0
01/01/2012,19:45,0,0,0,0,0
01/01/2012,20:00,0,0,0,0,0
01/01/2012,20:15,3,0,0,2,1
01/01/2012,20:30,0,0,0,0,0
01/01/2012,20:45,1,0,0,1,0
01/01/2012,21:00,0,0,0,0,0
01/01/2012,21:15,0,0,0,0,0
01/01/2012,21:30,2,0,0,0,2
01/01/2012,21:45,0,0,0,0,0
01/01/2012,22:00,1,0,0,0,1
01/01/2012,22:15,2,0,0,0,2
01/01/2012,22:30,1,0,0,0,1
01/01/2012,22:45,0,0,0,0,0
01/01/2012,23:00,0,0,0,0,0
01/01/2012,23:15,0,0,0,0,0
01/01/2012,23:30,1,0,0,0,1
01/01/2012,23:45,0,0,0,0,0
02/01/2012,00:00,0,0,0,0,0
02/01/2012,00:15,0,0,0,0,0
02/01/2012,00:30,0,0,0,0,0
02/01/2012,00:45,0,0,0,0,0
02/01/2012,01:00,0,0,0,0,0
02/01/2012,01:15,0,0,0,0,0
02/01/2012,01:30,0,0,0,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,0,0,0,0,0
02/01/2012,02:15,0,0,0,0,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,0,0,0,0,0
02/01/2012,03:00,0,0,0,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,0,0,0,0,0
02/01/2012,03:45,0,0,0,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,0,0,0,0,0
02/01/2012,04:30,0,0,0,0,0
02/01/2012,04:45,0,0,0,0,0
02/01/2012,05:00,0,0,0,0,0
02/01/2012,05:15,0,0,0,0,0
02/01/2012,05:30,1,0,0,1,0
02/01/2012,05:45,0,0,0,0,0
02/01/2012,06:00,0,0,0,0,0
02/01/2012,06:15,1,0,0,1,0
02/01/2012,06:30,0,0,0,0,0
02/01/2012,06:45,4,0,1,2,1
02/01/2012,07:00,1,0,0,0,1
02/01/2012,07:15,4,1,2,1,0
02/01/2012,07:30,1,0,0,1,0
02/01/2012,07:45,6,1,1,4,0
02/01/2012,08:00,5,0,1,3,1
02/01/2012,08:15,5,2,2,1,0
02/01/2012,08:30,10,4,4,1,1
02/01/2012,08:45,5,2,1,1,1
02/01/2012,09:00,12,3,3,4,2
02/01/2012,09:15,13,2,4,4,3
02/01/2012,09:30,14,5,1,5,3
02/01/2012,09:45,16,4,3,4,5
02/01/2012,10:00,24,7,7,5,5
02/01/2012,10:15,22,8,5,5,4
02/01/2012,10:30,18,4,8,3,3
02/01/2012,10:45,14,1,6,3,4
02/01/2012,11:00,19,2,3,6,8
02/01/2012,11:15,15,9,2,3,1
02/01/2012,11:30,10,3,2,3,2
02/01/2012,11:45,27,5,4,5,13
02/01/2012,12:00,9,2,0,3,4
02/01/2012,12:15,24,3,7,10,4
02/01/2012,12:30,26,5,7,6,8
02/01/2012,12:45,22,0,6,5,11
02/01/2012,13:00,10,1,1,3,5
02/01/2012,13:15,11,3,0,5,3
02/01/2012,13:30,23,2,5,8,8
02/01/2012,13:45,15,3,0,9,3
02/01/2012,14:00,20,1,1,7,11
02/01/2012,14:15,17,1,1,7,8
02/01/2012,14:30,12,2,2,1,7
02/01/2012,14:45,26,9,1,9,7
02/01/2012,15:00,19,4,5,7,3
