Date,,WOD Bon Air West,WOD Bon Air West Ped IN,WOD Bon Air West Ped OUT,WOD Bon Air West Bike IN,WOD Bon Air West Bike OUT
10/12/2012,00:00,,,,,
10/12/2012,00:15,,,,,
10/12/2012,00:30,,,,,
10/12/2012,00:45,,,,,
10/12/2012,01:00,,,,,
10/12/2012,01:15,,,,,
10/12/2012,01:30,,,,,
10/12/2012,01:45,,,,,
10/12/2012,02:00,,,,,
10/12/2012,02:15,,,,,
10/12/2012,02:30,,,,,
10/12/2012,02:45,,,,,
10/12/2012,03:00,,,,,
10/12/2012,03:15,,,,,
10/12/2012,03:30,,,,,
10/12/2012,03:45,,,,,
10/12/2012,04:00,,,,,
10/12/2012,04:15,,,,,
10/12/2012,04:30,,,,,
10/12/2012,04:45,,,,,
10/12/2012,05:00,3,1,0,1,1
10/12/2012,05:15,1,1,0,0,0
10/12/2012,05:30,11,5,1,3,2
10/12/2012,05:45,15,1,2,4,8
10/12/2012,06:00,11,6,0,2,3
10/12/2012,06:15,19,8,2,4,5
10/12/2012,06:30,21,9,4,2,6
10/12/2012,06:45,27,14,3,4,6
10/12/2012,07:00,33,19,2,7,5
10/12/2012,07:15,19,12,2,3,2
10/12/2012,07:30,20,17,0,1,2
10/12/2012,07:45,30,12,4,7,7
10/12/2012,08:00,19,11,1,4,3
10/12/2012,08:15,22,14,0,3,5
10/12/2012,08:30,15,11,0,1,3
10/12/2012,08:45,20,11,1,3,5
10/12/2012,09:00,17,8,1,5,3
10/12/2012,09:15,18,8,3,3,4
10/12/2012,09:30,8,2,2,2,2
10/12/2012,09:45,6,0,2,1,3
10/12/2012,10:00,10,4,2,2,2
10/12/2012,10:15,11,5,3,2,1
10/12/2012,10:30,8,2,2,3,1
10/12/2012,10:45,8,2,0,2,4
10/12/2012,11:00,11,1,4,3,3
10/12/2012,11:15,4,0,0,1,3
10/12/2012,11:30,4,2,1,1,0
10/12/2012,11:45,8,3,2,1,2
10/12/2012,12:00,8,1,0,4,3
10/12/2012,12:15,7,2,1,2,2
10/12/2012,12:30,6,2,1,2,1
10/12/2012,12:45,8,2,1,2,3
10/12/2012,13:00,7,0,4,2,1
10/12/2012,13:15,7,2,2,1,2
10/12/2012,13:30,9,1,2,4,2
10/12/2012,13:45,10,2,5,1,2
10/12/2012,14:00,7,1,2,1,3
10/12/2012,14:15,15,6,3,3,3
10/12/2012,14:30,9,4,1,2,2
10/12/2012,14:45,11,2,1,3,5
10/12/2012,15:00,16,4,4,5,3
10/12/2012,15:15,20,6,8,2,4
10/12/2012,15:30,13,2,2,3,6
10/12/2012,15:45,17,4,1,8,4
10/12/2012,16:00,19,3,8,2,6
10/12/2012,16:15,24,4,10,8,2
10/12/2012,16:30,28,6,7,8,7
10/12/2012,16:45,33,7,12,6,8
10/12/2012,17:00,19,1,9,4,5
10/12/2012,17:15,22,3,10,5,4
10/12/2012,17:30,22,5,9,3,5
10/12/2012,17:45,22,5,11,1,5
10/12/2012,18:00,26,2,21,1,2
10/12/2012,18:15,22,6,10,3,3
10/12/2012,18:30,11,1,8,2,0
10/12/2012,18:45,16,0,5,6,5
10/12/2012,19:00,11,2,6,1,2
10/12/2012,19:15,15,0,10,3,2
10/12/2012,19:30,12,1,9,2,0
10/12/2012,19:45,7,2,3,0,2
10/12/2012,20:00,10,1,4,3,2
10/12/2012,20:15,3,1,2,0,0
10/12/2012,20:30,3,1,1,0,1
10/12/2012,20:45,3,0,0,1,2
10/12/2012,21:00,6,0,1,3,2
10/12/2012,21:15,4,0,1,1,2
10/12/2012,21:30,3,0,1,1,1
10/12/2012,21:45,2,0,0,0,2
10/12/2012,22:00,1,0,1,0,0
10/12/2012,22:15,0,0,0,0,0
10/12/2012,22:30,0,0,0,0,0
10/12/2012,22:45,1,0,1,0,0
10/12/2012,23:00,0,0,0,0,0
10/12/2012,23:15,2,0,1,1,0
10/12/2012,23:30,2,0,1,0,1
10/12/2012,23:45,0,0,0,0,0
11/12/2012,00:00,0,0,0,0,0
11/12/2012,00:15,0,0,0,0,0
11/12/2012,00:30,0,0,0,0,0
11/12/2012,00:45,1,0,0,1,0
11/12/2012,01:00,7,1,0,2,4
11/12/2012,01:15,0,0,0,0,0
11/12/2012,01:30,0,0,0,0,0
11/12/2012,01:45,0,0,0,0,0
11/12/2012,02:00,0,0,0,0,0
11/12/2012,02:15,0,0,0,0,0
11/12/2012,02:30,0,0,0,0,0
11/12/2012,02:45,0,0,0,0,0
11/12/2012,03:00,0,0,0,0,0
11/12/2012,03:15,1,0,0,0,1
11/12/2012,03:30,0,0,0,0,0
11/12/2012,03:45,0,0,0,0,0
11/12/2012,04:00,0,0,0,0,0
11/12/2012,04:15,0,0,0,0,0
11/12/2012,04:30,0,0,0,0,0
11/12/2012,04:45,3,1,0,0,2
11/12/2012,05:00,3,2,0,1,0
11/12/2012,05:15,8,1,2,4,1
11/12/2012,05:30,6,2,0,2,2
11/12/2012,05:45,8,1,5,1,1
11/12/2012,06:00,11,3,2,5,1
11/12/2012,06:15,23,6,2,14,1
11/12/2012,06:30,22,4,8,8,2
11/12/2012,06:45,28,3,4,17,4
11/12/2012,07:00,28,4,3,21,0
11/12/2012,07:15,29,2,4,20,3
11/12/2012,07:30,37,9,4,22,2
11/12/2012,07:45,33,5,1,23,4
11/12/2012,08:00,39,3,3,27,6
11/12/2012,08:15,26,3,2,19,2
11/12/2012,08:30,39,3,0,30,6
11/12/2012,08:45,26,6,1,14,5
11/12/2012,09:00,15,2,6,5,2
11/12/2012,09:15,15,4,3,7,1
11/12/2012,09:30,6,1,2,2,1
11/12/2012,09:45,3,1,1,1,0
11/12/2012,10:00,8,1,2,4,1
11/12/2012,10:15,4,1,1,1,1
11/12/2012,10:30,4,1,1,1,1
11/12/2012,10:45,8,3,3,1,1
11/12/2012,11:00,6,5,1,0,0
11/12/2012,11:15,7,3,2,2,0
11/12/2012,11:30,14,5,7,2,0
11/12/2012,11:45,7,2,2,0,3
11/12/2012,12:00,12,7,3,0,2
11/12/2012,12:15,8,2,2,3,1
11/12/2012,12:30,4,1,0,1,2
11/12/2012,12:45,10,1,3,4,2
11/12/2012,13:00,13,5,3,1,4
11/12/2012,13:15,5,1,2,1,1
11/12/2012,13:30,6,2,2,2,0
11/12/2012,13:45,5,1,1,3,0
11/12/2012,14:00,11,0,1,2,8
11/12/2012,14:15,7,0,2,2,3
11/12/2012,14:30,19,3,8,6,2
11/12/2012,14:45,9,2,1,4,2
11/12/2012,15:00,12,3,3,4,2
11/12/2012,15:15,15,1,2,3,9
11/12/2012,15:30,18,2,1,7,8
11/12/2012,15:45,15,1,4,2,8
11/12/2012,16:00,24,4,10,2,8
11/12/2012,16:15,25,8,3,6,8
11/12/2012,16:30,30,2,6,6,16
11/12/2012,16:45,27,6,3,4,14
11/12/2012,17:00,29,6,2,9,12
11/12/2012,17:15,24,3,8,0,13
11/12/2012,17:30,42,4,5,5,28
11/12/2012,17:45,36,3,0,3,30
11/12/2012,18:00,24,1,1,3,19
11/12/2012,18:15,22,3,1,2,16
11/12/2012,18:30,24,5,1,1,17
11/12/2012,18:45,16,1,2,1,12
11/12/2012,19:00,14,1,2,1,10
11/12/2012,19:15,16,1,4,4,7
11/12/2012,19:30,11,1,1,2,7
11/12/2012,19:45,5,0,0,1,4
11/12/2012,20:00,6,1,1,0,4
11/12/2012,20:15,4,0,0,1,3
11/12/2012,20:30,0,0,0,0,0
11/12/2012,20:45,1,0,0,0,1
11/12/2012,21:00,0,0,0,0,0
11/12/2012,21:15,3,0,0,0,3
11/12/2012,21:30,2,1,0,0,1
11/12/2012,21:45,2,1,0,1,0
11/12/2012,22:00,4,1,1,1,1
11/12/2012,22:15,0,0,0,0,0
11/12/2012,22:30,0,0,0,0,0
11/12/2012,22:45,1,0,0,0,1
11/12/2012,23:00,0,0,0,0,0
11/12/2012,23:15,1,0,0,0,1
11/12/2012,23:30,0,0,0,0,0
11/12/2012,23:45,1,0,1,0,0
12/12/2012,00:00,2,1,0,0,1
12/12/2012,00:15,1,0,1,0,0
12/12/2012,00:30,0,0,0,0,0
12/12/2012,00:45,0,0,0,0,0
12/12/2012,01:00,0,0,0,0,0
12/12/2012,01:15,0,0,0,0,0
12/12/2012,01:30,0,0,0,0,0
12/12/2012,01:45,0,0,0,0,0
12/12/2012,02:00,0,0,0,0,0
12/12/2012,02:15,0,0,0,0,0
12/12/2012,02:30,0,0,0,0,0
12/12/2012,02:45,0,0,0,0,0
12/12/2012,03:00,0,0,0,0,0
12/12/2012,03:15,0,0,0,0,0
12/12/2012,03:30,0,0,0,0,0
12/12/2012,03:45,0,0,0,0,0
12/12/2012,04:00,0,0,0,0,0
12/12/2012,04:15,0,0,0,0,0
12/12/2012,04:30,1,0,1,0,0
12/12/2012,04:45,3,0,2,1,0
12/12/2012,05:00,3,1,1,0,1
12/12/2012,05:15,4,1,0,2,1
12/12/2012,05:30,7,2,1,3,1
12/12/2012,05:45,11,3,2,4,2
12/12/2012,06:00,11,1,2,7,1
12/12/2012,06:15,12,3,2,6,1
12/12/2012,06:30,27,4,6,13,4
12/12/2012,06:45,28,5,4,18,1
12/12/2012,07:00,19,1,4,12,2
12/12/2012,07:15,33,8,4,17,4
12/12/2012,07:30,29,4,5,17,3
12/12/2012,07:45,30,2,3,19,6
12/12/2012,08:00,33,2,3,27,1
12/12/2012,08:15,25,8,5,9,3
12/12/2012,08:30,24,4,4,12,4
12/12/2012,08:45,27,3,4,15,5
12/12/2012,09:00,23,2,7,10,4
12/12/2012,09:15,13,4,2,7,0
12/12/2012,09:30,10,2,2,5,1
12/12/2012,09:45,6,0,2,3,1
12/12/2012,10:00,9,3,2,1,3
12/12/2012,10:15,11,8,0,2,1
12/12/2012,10:30,6,1,2,2,1
12/12/2012,10:45,15,2,5,4,4
12/12/2012,11:00,10,2,2,5,1
12/12/2012,11:15,16,5,1,3,7
12/12/2012,11:30,14,2,2,7,3
12/12/2012,11:45,10,3,4,2,1
12/12/2012,12:00,8,0,3,2,3
12/12/2012,12:15,9,2,3,2,2
12/12/2012,12:30,14,4,5,2,3
12/12/2012,12:45,12,2,3,1,6
12/12/2012,13:00,9,2,3,3,1
12/12/2012,13:15,7,3,1,1,2
12/12/2012,13:30,11,5,6,0,0
12/12/2012,13:45,5,0,3,1,1
12/12/2012,14:00,8,3,2,1,2
12/12/2012,14:15,13,5,1,2,5
12/12/2012,14:30,8,1,1,3,3
12/12/2012,14:45,10,2,2,1,5
12/12/2012,15:00,11,4,1,1,5
12/12/2012,15:15,11,1,3,5,2
12/12/2012,15:30,3,0,0,1,2
12/12/2012,15:45,15,5,3,2,5
12/12/2012,16:00,21,3,6,4,8
12/12/2012,16:15,20,5,4,3,8
12/12/2012,16:30,25,4,5,8,8
12/12/2012,16:45,31,6,5,5,15
12/12/2012,17:00,25,2,4,3,16
12/12/2012,17:15,19,5,2,4,8
12/12/2012,17:30,29,4,4,4,17
12/12/2012,17:45,25,0,5,4,16
12/12/2012,18:00,29,2,1,3,23
12/12/2012,18:15,21,2,2,1,16
12/12/2012,18:30,20,2,3,2,13
12/12/2012,18:45,21,0,3,1,17
12/12/2012,19:00,10,2,0,2,6
12/12/2012,19:15,10,2,0,0,8
12/12/2012,19:30,12,0,0,4,8
12/12/2012,19:45,10,1,2,1,6
12/12/2012,20:00,5,0,0,1,4
12/12/2012,20:15,8,2,1,2,3
12/12/2012,20:30,2,1,1,0,0
12/12/2012,20:45,1,0,0,1,0
12/12/2012,21:00,1,0,0,0,1
12/12/2012,21:15,0,0,0,0,0
12/12/2012,21:30,0,0,0,0,0
12/12/2012,21:45,3,1,1,1,0
12/12/2012,22:00,0,0,0,0,0
12/12/2012,22:15,0,0,0,0,0
12/12/2012,22:30,0,0,0,0,0
12/12/2012,22:45,0,0,0,0,0
12/12/2012,23:00,2,0,1,0,1
12/12/2012,23:15,1,0,0,0,1
12/12/2012,23:30,0,0,0,0,0
12/12/2012,23:45,0,0,0,0,0
13/12/2012,00:00,0,0,0,0,0
13/12/2012,00:15,1,0,1,0,0
13/12/2012,00:30,0,0,0,0,0
13/12/2012,00:45,1,1,0,0,0
13/12/2012,01:00,0,0,0,0,0
13/12/2012,01:15,1,0,1,0,0
13/12/2012,01:30,0,0,0,0,0
13/12/2012,01:45,0,0,0,0,0
13/12/2012,02:00,0,0,0,0,0
13/12/2012,02:15,0,0,0,0,0
13/12/2012,02:30,0,0,0,0,0
13/12/2012,02:45,0,0,0,0,0
13/12/2012,03:00,0,0,0,0,0
13/12/2012,03:15,0,0,0,0,0
13/12/2012,03:30,0,0,0,0,0
13/12/2012,03:45,0,0,0,0,0
13/12/2012,04:00,1,0,0,0,1
13/12/2012,04:15,1,0,0,1,0
13/12/2012,04:30,0,0,0,0,0
13/12/2012,04:45,2,0,2,0,0
13/12/2012,05:00,1,1,0,0,0
13/12/2012,05:15,3,0,0,2,1
13/12/2012,05:30,5,2,1,2,0
13/12/2012,05:45,10,2,5,2,1
13/12/2012,06:00,11,2,3,6,0
13/12/2012,06:15,30,5,9,15,1
13/12/2012,06:30,22,4,7,8,3
13/12/2012,06:45,25,5,2,14,4
13/12/2012,07:00,20,2,5,12,1
13/12/2012,07:15,30,6,0,19,5
13/12/2012,07:30,19,1,0,15,3
13/12/2012,07:45,26,0,2,21,3
13/12/2012,08:00,31,3,5,17,6
13/12/2012,08:15,27,2,4,20,1
13/12/2012,08:30,20,2,3,13,2
13/12/2012,08:45,26,2,2,21,1
13/12/2012,09:00,23,5,6,11,1
13/12/2012,09:15,6,1,2,3,0
13/12/2012,09:30,18,5,4,6,3
13/12/2012,09:45,15,6,2,4,3
13/12/2012,10:00,9,1,3,5,0
13/12/2012,10:15,5,1,3,1,0
13/12/2012,10:30,11,5,1,1,4
13/12/2012,10:45,19,6,9,3,1
13/12/2012,11:00,11,4,4,1,2
13/12/2012,11:15,11,3,2,5,1
13/12/2012,11:30,5,1,0,1,3
13/12/2012,11:45,12,1,3,3,5
13/12/2012,12:00,8,0,1,2,5
13/12/2012,12:15,7,0,1,4,2
13/12/2012,12:30,16,3,2,7,4
13/12/2012,12:45,7,3,1,3,0
13/12/2012,13:00,13,2,2,5,4
13/12/2012,13:15,6,0,3,0,3
13/12/2012,13:30,7,3,0,2,2
13/12/2012,13:45,12,7,1,1,3
13/12/2012,14:00,7,2,4,0,1
13/12/2012,14:15,16,3,2,5,6
13/12/2012,14:30,12,2,3,5,2
13/12/2012,14:45,18,3,4,2,9
