Date,,WOD East Falls Church,WOD EFC Ped IN,WOD EFC Ped OUT,WOD EFC Bike IN,WOD EFC Bike OUT
01/01/2012,00:00,0,0,0,0,0
01/01/2012,00:15,0,0,0,0,0
01/01/2012,00:30,0,0,0,0,0
01/01/2012,00:45,0,0,0,0,0
01/01/2012,01:00,0,0,0,0,0
01/01/2012,01:15,1,0,0,0,1
01/01/2012,01:30,0,0,0,0,0
01/01/2012,01:45,0,0,0,0,0
01/01/2012,02:00,0,0,0,0,0
01/01/2012,02:15,0,0,0,0,0
01/01/2012,02:30,0,0,0,0,0
01/01/2012,02:45,0,0,0,0,0
01/01/2012,03:00,0,0,0,0,0
01/01/2012,03:15,1,0,1,0,0
01/01/2012,03:30,0,0,0,0,0
01/01/2012,03:45,0,0,0,0,0
01/01/2012,04:00,0,0,0,0,0
01/01/2012,04:15,0,0,0,0,0
01/01/2012,04:30,0,0,0,0,0
01/01/2012,04:45,0,0,0,0,0
01/01/2012,05:00,0,0,0,0,0
01/01/2012,05:15,0,0,0,0,0
01/01/2012,05:30,0,0,0,0,0
01/01/2012,05:45,0,0,0,0,0
01/01/2012,06:00,0,0,0,0,0
01/01/2012,06:15,0,0,0,0,0
01/01/2012,06:30,0,0,0,0,0
01/01/2012,06:45,0,0,0,0,0
01/01/2012,07:00,0,0,0,0,0
01/01/2012,07:15,0,0,0,0,0
01/01/2012,07:30,1,0,1,0,0
01/01/2012,07:45,6,2,1,0,3
01/01/2012,08:00,1,0,1,0,0
01/01/2012,08:15,8,3,1,3,1
01/01/2012,08:30,10,2,8,0,0
01/01/2012,08:45,11,4,3,2,2
01/01/2012,09:00,12,5,4,2,1
01/01/2012,09:15,9,4,2,1,2
01/01/2012,09:30,12,6,3,0,3
01/01/2012,09:45,9,3,5,0,1
01/01/2012,10:00,14,8,3,2,1
01/01/2012,10:15,17,5,4,1,7
01/01/2012,10:30,22,6,7,4,5
01/01/2012,10:45,30,4,9,6,11
01/01/2012,11:00,16,5,6,2,3
01/01/2012,11:15,25,5,7,4,9
01/01/2012,11:30,30,7,8,8,7
01/01/2012,11:45,28,3,6,14,5
01/01/2012,12:00,40,5,8,15,12
01/01/2012,12:15,28,4,6,12,6
01/01/2012,12:30,50,12,10,17,11
01/01/2012,12:45,62,13,12,23,14
01/01/2012,13:00,39,7,8,13,11
01/01/2012,13:15,43,5,12,12,14
01/01/2012,13:30,52,10,5,24,13
01/01/2012,13:45,43,9,7,15,12
01/01/2012,14:00,44,7,9,18,10
01/01/2012,14:15,44,10,10,11,13
01/01/2012,14:30,57,6,8,21,22
01/01/2012,14:45,43,4,7,9,23
01/01/2012,15:00,35,3,4,16,12
01/01/2012,15:15,45,4,12,12,17
01/01/2012,15:30,36,9,3,14,10
01/01/2012,15:45,50,11,8,18,13
01/01/2012,16:00,35,5,13,10,7
01/01/2012,16:15,12,1,1,4,6
01/01/2012,16:30,29,7,6,12,4
01/01/2012,16:45,23,4,4,11,4
01/01/2012,17:00,12,3,1,3,5
01/01/2012,17:15,7,1,4,1,1
01/01/2012,17:30,2,1,1,0,0
01/01/2012,17:45,1,0,1,0,0
01/01/2012,18:00,0,0,0,0,0
01/01/2012,18:15,1,1,0,0,0
01/01/2012,18:30,1,0,0,0,1
01/01/2012,18:45,0,0,0,0,0
01/01/2012,19:00,0,0,0,0,0
01/01/2012,19:15,0,0,0,0,0
01/01/2012,19:30,1,0,1,0,0
01/01/2012,19:45,1,1,0,0,0
01/01/2012,20:00,1,0,1,0,0
01/01/2012,20:15,0,0,0,0,0
01/01/2012,20:30,0,0,0,0,0
01/01/2012,20:45,0,0,0,0,0
01/01/2012,21:00,0,0,0,0,0
01/01/2012,21:15,0,0,0,0,0
01/01/2012,21:30,0,0,0,0,0
01/01/2012,21:45,0,0,0,0,0
01/01/2012,22:00,0,0,0,0,0
01/01/2012,22:15,0,0,0,0,0
01/01/2012,22:30,0,0,0,0,0
01/01/2012,22:45,0,0,0,0,0
01/01/2012,23:00,0,0,0,0,0
01/01/2012,23:15,0,0,0,0,0
01/01/2012,23:30,0,0,0,0,0
01/01/2012,23:45,0,0,0,0,0
02/01/2012,00:00,0,0,0,0,0
02/01/2012,00:15,2,0,2,0,0
02/01/2012,00:30,0,0,0,0,0
02/01/2012,00:45,0,0,0,0,0
02/01/2012,01:00,0,0,0,0,0
02/01/2012,01:15,0,0,0,0,0
02/01/2012,01:30,0,0,0,0,0
02/01/2012,01:45,0,0,0,0,0
02/01/2012,02:00,0,0,0,0,0
02/01/2012,02:15,0,0,0,0,0
02/01/2012,02:30,0,0,0,0,0
02/01/2012,02:45,0,0,0,0,0
02/01/2012,03:00,0,0,0,0,0
02/01/2012,03:15,0,0,0,0,0
02/01/2012,03:30,0,0,0,0,0
02/01/2012,03:45,0,0,0,0,0
02/01/2012,04:00,0,0,0,0,0
02/01/2012,04:15,0,0,0,0,0
02/01/2012,04:30,0,0,0,0,0
02/01/2012,04:45,0,0,0,0,0
02/01/2012,05:00,0,0,0,0,0
02/01/2012,05:15,0,0,0,0,0
02/01/2012,05:30,0,0,0,0,0
02/01/2012,05:45,2,1,0,1,0
02/01/2012,06:00,0,0,0,0,0
02/01/2012,06:15,2,0,1,1,0
02/01/2012,06:30,2,1,0,1,0
02/01/2012,06:45,1,0,1,0,0
02/01/2012,07:00,3,0,0,0,3
02/01/2012,07:15,3,0,1,0,2
02/01/2012,07:30,0,0,0,0,0
02/01/2012,07:45,4,2,0,1,1
02/01/2012,08:00,3,2,0,0,1
02/01/2012,08:15,7,3,4,0,0
02/01/2012,08:30,7,1,5,1,0
02/01/2012,08:45,8,5,0,1,2
02/01/2012,09:00,15,6,2,3,4
02/01/2012,09:15,8,3,3,2,0
02/01/2012,09:30,11,5,5,1,0
02/01/2012,09:45,6,2,3,0,1
02/01/2012,10:00,11,6,4,0,1
02/01/2012,10:15,16,9,4,1,2
02/01/2012,10:30,18,6,5,3,4
02/01/2012,10:45,14,6,4,1,3
02/01/2012,11:00,12,7,4,1,0
02/01/2012,11:15,21,5,14,1,1
02/01/2012,11:30,23,9,9,2,3
02/01/2012,11:45,10,4,1,3,2
02/01/2012,12:00,14,8,3,3,0
02/01/2012,12:15,28,10,14,3,1
02/01/2012,12:30,14,7,2,2,3
02/01/2012,12:45,20,7,6,4,3
02/01/2012,13:00,10,5,2,2,1
02/01/2012,13:15,16,8,5,1,2
02/01/2012,13:30,9,3,3,2,1
02/01/2012,13:45,14,8,4,1,1
02/01/2012,14:00,12,7,1,3,1
02/01/2012,14:15,16,8,4,1,3
02/01/2012,14:30,15,7,2,4,2
02/01/2012,14:45,11,3,2,5,1
02/01/2012,15:00,19,5,7,5,2
