Date,,Ballston Connector,Ballston Connector Ped IN,Ballston Connector Ped OUT,Ballston Connector Bike IN,Ballston Connector Bike OUT
01/01/2013,00:00,1,0,1,0,0
01/01/2013,00:15,1,0,0,1,0
01/01/2013,00:30,3,2,1,0,0
01/01/2013,00:45,1,1,0,0,0
01/01/2013,01:00,0,0,0,0,0
01/01/2013,01:15,0,0,0,0,0
01/01/2013,01:30,1,1,0,0,0
01/01/2013,01:45,0,0,0,0,0
01/01/2013,02:00,2,0,2,0,0
01/01/2013,02:15,0,0,0,0,0
01/01/2013,02:30,1,0,0,0,1
01/01/2013,02:45,2,0,2,0,0
01/01/2013,03:00,0,0,0,0,0
01/01/2013,03:15,0,0,0,0,0
01/01/2013,03:30,3,2,1,0,0
01/01/2013,03:45,0,0,0,0,0
01/01/2013,04:00,0,0,0,0,0
01/01/2013,04:15,0,0,0,0,0
01/01/2013,04:30,0,0,0,0,0
01/01/2013,04:45,1,0,1,0,0
01/01/2013,05:00,1,0,1,0,0
01/01/2013,05:15,0,0,0,0,0
01/01/2013,05:30,0,0,0,0,0
01/01/2013,05:45,0,0,0,0,0
01/01/2013,06:00,0,0,0,0,0
01/01/2013,06:15,0,0,0,0,0
01/01/2013,06:30,0,0,0,0,0
01/01/2013,06:45,3,2,1,0,0
01/01/2013,07:00,2,0,1,1,0
01/01/2013,07:15,2,1,1,0,0
01/01/2013,07:30,1,1,0,0,0
01/01/2013,07:45,4,1,1,2,0
01/01/2013,08:00,4,1,1,1,1
01/01/2013,08:15,3,3,0,0,0
01/01/2013,08:30,4,3,0,1,0
01/01/2013,08:45,2,1,0,1,0
01/01/2013,09:00,0,0,0,0,0
01/01/2013,09:15,2,1,0,0,1
01/01/2013,09:30,1,1,0,0,0
01/01/2013,09:45,3,1,1,0,1
01/01/2013,10:00,2,2,0,0,0
01/01/2013,10:15,14,3,7,3,1
01/01/2013,10:30,2,1,1,0,0
01/01/2013,10:45,9,7,1,1,0
01/01/2013,11:00,10,1,3,4,2
01/01/2013,11:15,4,2,2,0,0
01/01/2013,11:30,5,1,3,1,0
01/01/2013,11:45,3,2,0,1,0
01/01/2013,12:00,5,2,2,0,1
01/01/2013,12:15,5,4,0,0,1
01/01/2013,12:30,2,1,1,0,0
01/01/2013,12:45,4,2,1,1,0
01/01/2013,13:00,6,3,3,0,0
01/01/2013,13:15,6,2,2,2,0
01/01/2013,13:30,7,3,1,0,3
01/01/2013,13:45,4,1,3,0,0
01/01/2013,14:00,13,1,9,3,0
01/01/2013,14:15,9,3,1,3,2
01/01/2013,14:30,9,4,2,1,2
01/01/2013,14:45,11,3,3,5,0
01/01/2013,15:00,7,3,3,1,0
01/01/2013,15:15,5,4,1,0,0
01/01/2013,15:30,11,1,3,4,3
01/01/2013,15:45,12,6,5,1,0
01/01/2013,16:00,7,3,3,0,1
01/01/2013,16:15,4,1,2,0,1
01/01/2013,16:30,5,4,1,0,0
01/01/2013,16:45,5,3,0,2,0
01/01/2013,17:00,2,2,0,0,0
01/01/2013,17:15,3,1,2,0,0
01/01/2013,17:30,3,0,2,0,1
01/01/2013,17:45,0,0,0,0,0
01/01/2013,18:00,2,0,1,1,0
01/01/2013,18:15,0,0,0,0,0
01/01/2013,18:30,1,1,0,0,0
01/01/2013,18:45,2,0,2,0,0
01/01/2013,19:00,0,0,0,0,0
01/01/2013,19:15,1,0,0,0,1
01/01/2013,19:30,0,0,0,0,0
01/01/2013,19:45,0,0,0,0,0
01/01/2013,20:00,0,0,0,0,0
01/01/2013,20:15,1,0,0,0,1
01/01/2013,20:30,1,0,1,0,0
01/01/2013,20:45,0,0,0,0,0
01/01/2013,21:00,0,0,0,0,0
01/01/2013,21:15,0,0,0,0,0
01/01/2013,21:30,1,0,1,0,0
01/01/2013,21:45,1,0,1,0,0
01/01/2013,22:00,0,0,0,0,0
01/01/2013,22:15,0,0,0,0,0
01/01/2013,22:30,0,0,0,0,0
01/01/2013,22:45,1,1,0,0,0
01/01/2013,23:00,0,0,0,0,0
01/01/2013,23:15,0,0,0,0,0
01/01/2013,23:30,0,0,0,0,0
01/01/2013,23:45,0,0,0,0,0
02/01/2013,00:00,1,0,1,0,0
02/01/2013,00:15,0,0,0,0,0
02/01/2013,00:30,0,0,0,0,0
02/01/2013,00:45,0,0,0,0,0
02/01/2013,01:00,0,0,0,0,0
02/01/2013,01:15,0,0,0,0,0
02/01/2013,01:30,0,0,0,0,0
02/01/2013,01:45,0,0,0,0,0
02/01/2013,02:00,0,0,0,0,0
02/01/2013,02:15,0,0,0,0,0
02/01/2013,02:30,0,0,0,0,0
02/01/2013,02:45,0,0,0,0,0
02/01/2013,03:00,0,0,0,0,0
02/01/2013,03:15,0,0,0,0,0
02/01/2013,03:30,0,0,0,0,0
02/01/2013,03:45,0,0,0,0,0
02/01/2013,04:00,0,0,0,0,0
02/01/2013,04:15,1,0,1,0,0
02/01/2013,04:30,0,0,0,0,0
02/01/2013,04:45,0,0,0,0,0
02/01/2013,05:00,1,1,0,0,0
02/01/2013,05:15,1,1,0,0,0
02/01/2013,05:30,2,1,0,1,0
02/01/2013,05:45,4,1,2,1,0
02/01/2013,06:00,0,0,0,0,0
02/01/2013,06:15,3,2,1,0,0
02/01/2013,06:30,3,1,1,1,0
02/01/2013,06:45,5,2,0,1,2
02/01/2013,07:00,8,4,1,2,1
02/01/2013,07:15,11,8,1,2,0
02/01/2013,07:30,19,12,0,6,1
02/01/2013,07:45,10,8,1,0,1
02/01/2013,08:00,10,6,0,4,0
02/01/2013,08:15,25,10,0,13,2
02/01/2013,08:30,10,5,0,5,0
02/01/2013,08:45,13,7,0,6,0
02/01/2013,09:00,3,1,0,2,0
02/01/2013,09:15,4,2,0,1,1
02/01/2013,09:30,7,1,0,4,2
02/01/2013,09:45,3,0,1,2,0
02/01/2013,10:00,5,3,1,1,0
02/01/2013,10:15,4,3,1,0,0
02/01/2013,10:30,2,1,0,1,0
02/01/2013,10:45,4,2,0,1,1
02/01/2013,11:00,3,2,1,0,0
02/01/2013,11:15,2,1,1,0,0
02/01/2013,11:30,3,0,3,0,0
02/01/2013,11:45,8,4,4,0,0
02/01/2013,12:00,6,3,3,0,0
02/01/2013,12:15,10,2,8,0,0
02/01/2013,12:30,7,4,3,0,0
02/01/2013,12:45,5,2,2,1,0
02/01/2013,13:00,8,4,3,1,0
02/01/2013,13:15,3,2,1,0,0
02/01/2013,13:30,8,2,5,0,1
02/01/2013,13:45,8,6,2,0,0
02/01/2013,14:00,2,0,0,1,1
02/01/2013,14:15,3,2,1,0,0
02/01/2013,14:30,2,1,0,1,0
02/01/2013,14:45,3,0,2,0,1
02/01/2013,15:00,3,1,0,0,2
02/01/2013,15:15,7,2,2,0,3
02/01/2013,15:30,3,1,0,0,2
02/01/2013,15:45,6,1,4,0,1
02/01/2013,16:00,6,1,3,0,2
02/01/2013,16:15,11,2,4,1,4
02/01/2013,16:30,9,3,3,0,3
02/01/2013,16:45,15,0,5,3,7
02/01/2013,17:00,11,2,6,0,3
02/01/2013,17:15,17,2,8,0,7
02/01/2013,17:30,16,2,8,1,5
02/01/2013,17:45,8,1,4,0,3
02/01/2013,18:00,11,2,5,2,2
02/01/2013,18:15,10,0,5,0,5
02/01/2013,18:30,8,1,6,0,1
02/01/2013,18:45,6,2,4,0,0
02/01/2013,19:00,3,0,2,0,1
02/01/2013,19:15,7,3,3,0,1
02/01/2013,19:30,4,0,1,1,2
02/01/2013,19:45,1,1,0,0,0
02/01/2013,20:00,0,0,0,0,0
02/01/2013,20:15,2,0,0,0,2
02/01/2013,20:30,4,1,2,0,1
02/01/2013,20:45,0,0,0,0,0
02/01/2013,21:00,1,0,1,0,0
02/01/2013,21:15,0,0,0,0,0
02/01/2013,21:30,0,0,0,0,0
02/01/2013,21:45,1,0,1,0,0
02/01/2013,22:00,0,0,0,0,0
02/01/2013,22:15,0,0,0,0,0
02/01/2013,22:30,0,0,0,0,0
02/01/2013,22:45,0,0,0,0,0
02/01/2013,23:00,0,0,0,0,0
02/01/2013,23:15,0,0,0,0,0
02/01/2013,23:30,0,0,0,0,0
02/01/2013,23:45,0,0,0,0,0
03/01/2013,00:00,0,0,0,0,0
03/01/2013,00:15,0,0,0,0,0
03/01/2013,00:30,0,0,0,0,0
03/01/2013,00:45,0,0,0,0,0
03/01/2013,01:00,0,0,0,0,0
03/01/2013,01:15,0,0,0,0,0
03/01/2013,01:30,0,0,0,0,0
03/01/2013,01:45,1,0,0,0,1
03/01/2013,02:00,0,0,0,0,0
03/01/2013,02:15,0,0,0,0,0
03/01/2013,02:30,0,0,0,0,0
03/01/2013,02:45,0,0,0,0,0
03/01/2013,03:00,0,0,0,0,0
03/01/2013,03:15,0,0,0,0,0
03/01/2013,03:30,0,0,0,0,0
03/01/2013,03:45,0,0,0,0,0
03/01/2013,04:00,0,0,0,0,0
03/01/2013,04:15,0,0,0,0,0
03/01/2013,04:30,0,0,0,0,0
03/01/2013,04:45,0,0,0,0,0
03/01/2013,05:00,1,1,0,0,0
03/01/2013,05:15,2,1,1,0,0
03/01/2013,05:30,3,2,0,1,0
03/01/2013,05:45,2,0,1,1,0
03/01/2013,06:00,1,1,0,0,0
03/01/2013,06:15,1,1,0,0,0
03/01/2013,06:30,5,2,1,1,1
03/01/2013,06:45,5,3,1,1,0
03/01/2013,07:00,14,4,2,8,0
03/01/2013,07:15,12,6,1,4,1
03/01/2013,07:30,14,10,0,3,1
03/01/2013,07:45,16,8,3,5,0
03/01/2013,08:00,19,13,0,4,2
03/01/2013,08:15,5,4,0,1,0
03/01/2013,08:30,15,6,1,7,1
03/01/2013,08:45,13,7,0,5,1
03/01/2013,09:00,8,3,2,3,0
03/01/2013,09:15,15,3,0,9,3
03/01/2013,09:30,7,5,2,0,0
03/01/2013,09:45,7,4,2,1,0
03/01/2013,10:00,3,2,0,0,1
03/01/2013,10:15,5,4,0,1,0
03/01/2013,10:30,4,3,0,0,1
03/01/2013,10:45,1,1,0,0,0
03/01/2013,11:00,3,2,1,0,0
03/01/2013,11:15,4,2,0,2,0
03/01/2013,11:30,2,0,0,2,0
03/01/2013,11:45,7,2,5,0,0
03/01/2013,12:00,9,4,5,0,0
03/01/2013,12:15,7,5,2,0,0
03/01/2013,12:30,4,0,4,0,0
03/01/2013,12:45,6,4,2,0,0
03/01/2013,13:00,6,3,2,0,1
03/01/2013,13:15,6,3,3,0,0
03/01/2013,13:30,5,2,2,1,0
03/01/2013,13:45,8,3,1,3,1
03/01/2013,14:00,3,1,0,1,1
03/01/2013,14:15,7,3,4,0,0
03/01/2013,14:30,7,2,4,0,1
03/01/2013,14:45,6,1,1,0,4
03/01/2013,15:00,8,2,2,0,4
03/01/2013,15:15,4,3,0,0,1
03/01/2013,15:30,5,1,2,0,2
03/01/2013,15:45,8,3,4,0,1
03/01/2013,16:00,12,2,5,3,2
03/01/2013,16:15,8,1,4,1,2
03/01/2013,16:30,12,1,5,2,4
03/01/2013,16:45,9,3,3,2,1
03/01/2013,17:00,15,1,8,0,6
03/01/2013,17:15,21,6,8,1,6
03/01/2013,17:30,11,2,5,0,4
03/01/2013,17:45,11,2,7,1,1
03/01/2013,18:00,12,0,8,0,4
03/01/2013,18:15,13,1,10,0,2
03/01/2013,18:30,8,1,5,0,2
03/01/2013,18:45,14,1,5,0,8
03/01/2013,19:00,3,1,1,0,1
03/01/2013,19:15,5,2,2,0,1
03/01/2013,19:30,6,0,6,0,0
03/01/2013,19:45,2,0,0,0,2
03/01/2013,20:00,1,0,1,0,0
03/01/2013,20:15,4,0,4,0,0
03/01/2013,20:30,2,1,0,0,1
03/01/2013,20:45,2,0,0,1,1
03/01/2013,21:00,1,0,1,0,0
03/01/2013,21:15,0,0,0,0,0
03/01/2013,21:30,2,0,2,0,0
03/01/2013,21:45,0,0,0,0,0
03/01/2013,22:00,0,0,0,0,0
03/01/2013,22:15,0,0,0,0,0
03/01/2013,22:30,1,0,1,0,0
03/01/2013,22:45,1,0,0,0,1
03/01/2013,23:00,1,0,1,0,0
03/01/2013,23:15,0,0,0,0,0
03/01/2013,23:30,0,0,0,0,0
03/01/2013,23:45,0,0,0,0,0
04/01/2013,00:00,0,0,0,0,0
04/01/2013,00:15,0,0,0,0,0
04/01/2013,00:30,1,0,0,0,1
04/01/2013,00:45,0,0,0,0,0
04/01/2013,01:00,0,0,0,0,0
04/01/2013,01:15,0,0,0,0,0
04/01/2013,01:30,0,0,0,0,0
04/01/2013,01:45,0,0,0,0,0
04/01/2013,02:00,0,0,0,0,0
04/01/2013,02:15,0,0,0,0,0
04/01/2013,02:30,0,0,0,0,0
04/01/2013,02:45,0,0,0,0,0
04/01/2013,03:00,0,0,0,0,0
04/01/2013,03:15,0,0,0,0,0
04/01/2013,03:30,0,0,0,0,0
04/01/2013,03:45,0,0,0,0,0
04/01/2013,04:00,0,0,0,0,0
04/01/2013,04:15,0,0,0,0,0
04/01/2013,04:30,1,1,0,0,0
04/01/2013,04:45,0,0,0,0,0
04/01/2013,05:00,0,0,0,0,0
04/01/2013,05:15,1,1,0,0,0
04/01/2013,05:30,3,1,0,2,0
04/01/2013,05:45,3,1,2,0,0
04/01/2013,06:00,2,2,0,0,0
04/01/2013,06:15,1,1,0,0,0
04/01/2013,06:30,4,2,1,1,0
04/01/2013,06:45,9,5,0,3,1
04/01/2013,07:00,13,6,0,6,1
04/01/2013,07:15,9,5,0,4,0
04/01/2013,07:30,15,7,1,5,2
04/01/2013,07:45,16,10,0,5,1
04/01/2013,08:00,16,11,0,5,0
04/01/2013,08:15,11,7,0,4,0
04/01/2013,08:30,14,5,2,6,1
04/01/2013,08:45,11,6,0,4,1
04/01/2013,09:00,9,4,0,4,1
04/01/2013,09:15,1,0,0,1,0
04/01/2013,09:30,10,5,1,4,0
04/01/2013,09:45,5,4,1,0,0
04/01/2013,10:00,5,3,1,1,0
04/01/2013,10:15,1,0,1,0,0
04/01/2013,10:30,3,3,0,0,0
04/01/2013,10:45,5,0,0,4,1
04/01/2013,11:00,8,4,3,1,0
04/01/2013,11:15,6,2,1,3,0
04/01/2013,11:30,7,4,3,0,0
04/01/2013,11:45,7,2,3,1,1
04/01/2013,12:00,6,3,1,0,2
04/01/2013,12:15,7,3,2,1,1
04/01/2013,12:30,6,0,5,1,0
04/01/2013,12:45,3,2,1,0,0
04/01/2013,13:00,12,5,5,2,0
04/01/2013,13:15,6,1,3,2,0
04/01/2013,13:30,7,5,2,0,0
04/01/2013,13:45,4,2,1,0,1
04/01/2013,14:00,13,5,2,3,3
04/01/2013,14:15,6,3,1,0,2
04/01/2013,14:30,4,1,3,0,0
04/01/2013,14:45,5,3,1,1,0
04/01/2013,15:00,2,0,2,0,0
04/01/2013,15:15,8,2,3,1,2
04/01/2013,15:30,12,4,3,0,5
04/01/2013,15:45,16,5,9,0,2
04/01/2013,16:00,8,2,1,0,5
04/01/2013,16:15,12,3,6,1,2
04/01/2013,16:30,17,1,8,2,6
04/01/2013,16:45,11,4,1,2,4
04/01/2013,17:00,11,2,5,0,4
04/01/2013,17:15,14,1,6,1,6
04/01/2013,17:30,13,0,6,0,7
04/01/2013,17:45,13,1,6,2,4
04/01/2013,18:00,9,1,3,2,3
04/01/2013,18:15,13,2,6,0,5
04/01/2013,18:30,7,2,4,0,1
04/01/2013,18:45,4,0,0,2,2
04/01/2013,19:00,4,1,3,0,0
04/01/2013,19:15,2,0,2,0,0
04/01/2013,19:30,6,3,3,0,0
04/01/2013,19:45,1,0,0,0,1
04/01/2013,20:00,1,0,0,0,1
04/01/2013,20:15,1,0,0,0,1
04/01/2013,20:30,0,0,0,0,0
04/01/2013,20:45,0,0,0,0,0
04/01/2013,21:00,2,0,1,0,1
04/01/2013,21:15,1,1,0,0,0
04/01/2013,21:30,1,0,1,0,0
04/01/2013,21:45,0,0,0,0,0
04/01/2013,22:00,1,0,1,0,0
04/01/2013,22:15,4,2,0,0,2
04/01/2013,22:30,2,1,1,0,0
04/01/2013,22:45,1,0,0,0,1
04/01/2013,23:00,1,0,0,0,1
04/01/2013,23:15,1,0,1,0,0
04/01/2013,23:30,0,0,0,0,0
04/01/2013,23:45,0,0,0,0,0
05/01/2013,00:00,0,0,0,0,0
05/01/2013,00:15,0,0,0,0,0
05/01/2013,00:30,1,0,0,1,0
05/01/2013,00:45,1,1,0,0,0
05/01/2013,01:00,0,0,0,0,0
05/01/2013,01:15,0,0,0,0,0
05/01/2013,01:30,1,1,0,0,0
05/01/2013,01:45,1,0,1,0,0
05/01/2013,02:00,0,0,0,0,0
05/01/2013,02:15,1,0,0,0,1
05/01/2013,02:30,0,0,0,0,0
05/01/2013,02:45,0,0,0,0,0
05/01/2013,03:00,0,0,0,0,0
05/01/2013,03:15,0,0,0,0,0
05/01/2013,03:30,0,0,0,0,0
05/01/2013,03:45,2,2,0,0,0
05/01/2013,04:00,1,0,1,0,0
05/01/2013,04:15,0,0,0,0,0
05/01/2013,04:30,0,0,0,0,0
05/01/2013,04:45,0,0,0,0,0
05/01/2013,05:00,0,0,0,0,0
05/01/2013,05:15,0,0,0,0,0
05/01/2013,05:30,0,0,0,0,0
05/01/2013,05:45,0,0,0,0,0
05/01/2013,06:00,0,0,0,0,0
05/01/2013,06:15,1,1,0,0,0
05/01/2013,06:30,0,0,0,0,0
05/01/2013,06:45,0,0,0,0,0
05/01/2013,07:00,1,0,1,0,0
05/01/2013,07:15,2,1,0,1,0
05/01/2013,07:30,1,1,0,0,0
05/01/2013,07:45,2,2,0,0,0
05/01/2013,08:00,3,1,1,0,1
05/01/2013,08:15,4,2,1,1,0
05/01/2013,08:30,5,3,0,1,1
05/01/2013,08:45,4,2,1,1,0
05/01/2013,09:00,1,0,0,1,0
05/01/2013,09:15,4,3,0,1,0
05/01/2013,09:30,7,3,3,0,1
05/01/2013,09:45,2,1,0,0,1
05/01/2013,10:00,4,1,1,2,0
05/01/2013,10:15,8,6,0,2,0
05/01/2013,10:30,13,2,9,1,1
05/01/2013,10:45,10,5,3,0,2
05/01/2013,11:00,12,4,7,1,0
05/01/2013,11:15,6,3,0,0,3
05/01/2013,11:30,14,6,2,5,1
05/01/2013,11:45,12,4,7,0,1
05/01/2013,12:00,10,4,4,0,2
05/01/2013,12:15,13,2,3,6,2
05/01/2013,12:30,13,3,7,1,2
05/01/2013,12:45,17,4,8,3,2
05/01/2013,13:00,10,4,3,1,2
