Date,,Custis Bon Air,Custis Bon Air Ped IN,Custis Bon Air Ped OUT,Custis Bon Air Bike IN,Custis Bon Air Bike OUT
01/01/2013,00:00,0,0,0,0,0
01/01/2013,00:15,5,0,4,1,0
01/01/2013,00:30,0,0,0,0,0
01/01/2013,00:45,0,0,0,0,0
01/01/2013,01:00,0,0,0,0,0
01/01/2013,01:15,0,0,0,0,0
01/01/2013,01:30,0,0,0,0,0
01/01/2013,01:45,0,0,0,0,0
01/01/2013,02:00,0,0,0,0,0
01/01/2013,02:15,0,0,0,0,0
01/01/2013,02:30,0,0,0,0,0
01/01/2013,02:45,0,0,0,0,0
01/01/2013,03:00,0,0,0,0,0
01/01/2013,03:15,0,0,0,0,0
01/01/2013,03:30,0,0,0,0,0
01/01/2013,03:45,0,0,0,0,0
01/01/2013,04:00,0,0,0,0,0
01/01/2013,04:15,1,1,0,0,0
01/01/2013,04:30,0,0,0,0,0
01/01/2013,04:45,0,0,0,0,0
01/01/2013,05:00,0,0,0,0,0
01/01/2013,05:15,0,0,0,0,0
01/01/2013,05:30,1,0,1,0,0
01/01/2013,05:45,0,0,0,0,0
01/01/2013,06:00,0,0,0,0,0
01/01/2013,06:15,2,2,0,0,0
01/01/2013,06:30,2,1,1,0,0
01/01/2013,06:45,1,1,0,0,0
01/01/2013,07:00,0,0,0,0,0
01/01/2013,07:15,3,1,2,0,0
01/01/2013,07:30,5,1,3,0,1
01/01/2013,07:45,4,2,1,1,0
01/01/2013,08:00,8,1,4,2,1
01/01/2013,08:15,6,4,1,1,0
01/01/2013,08:30,8,5,2,1,0
01/01/2013,08:45,9,2,6,1,0
01/01/2013,09:00,10,2,4,2,2
01/01/2013,09:15,7,5,0,1,1
01/01/2013,09:30,11,1,3,4,3
01/01/2013,09:45,14,6,4,3,1
01/01/2013,10:00,7,2,4,0,1
01/01/2013,10:15,18,8,4,1,5
01/01/2013,10:30,21,5,7,4,5
01/01/2013,10:45,24,9,5,4,6
01/01/2013,11:00,23,0,10,5,8
01/01/2013,11:15,12,7,2,2,1
01/01/2013,11:30,22,4,5,6,7
01/01/2013,11:45,17,4,4,5,4
01/01/2013,12:00,18,8,4,6,0
01/01/2013,12:15,16,4,3,5,4
01/01/2013,12:30,29,16,5,6,2
01/01/2013,12:45,19,5,3,6,5
01/01/2013,13:00,20,6,8,2,4
01/01/2013,13:15,23,6,6,6,5
01/01/2013,13:30,18,6,4,5,3
01/01/2013,13:45,27,5,9,6,7
01/01/2013,14:00,21,4,8,7,2
01/01/2013,14:15,23,6,6,4,7
01/01/2013,14:30,21,7,4,4,6
01/01/2013,14:45,22,4,7,2,9
01/01/2013,15:00,2,0,1,1,0
01/01/2013,15:15,11,4,3,1,3
01/01/2013,15:30,20,11,6,1,2
01/01/2013,15:45,13,2,7,2,2
01/01/2013,16:00,13,3,2,3,5
01/01/2013,16:15,18,3,8,3,4
01/01/2013,16:30,17,7,4,3,3
01/01/2013,16:45,11,3,7,0,1
01/01/2013,17:00,7,6,0,1,0
01/01/2013,17:15,4,2,1,1,0
01/01/2013,17:30,1,0,0,1,0
01/01/2013,17:45,3,0,2,1,0
01/01/2013,18:00,1,0,1,0,0
01/01/2013,18:15,2,0,1,0,1
01/01/2013,18:30,1,1,0,0,0
01/01/2013,18:45,1,1,0,0,0
01/01/2013,19:00,1,0,1,0,0
01/01/2013,19:15,0,0,0,0,0
01/01/2013,19:30,0,0,0,0,0
01/01/2013,19:45,0,0,0,0,0
01/01/2013,20:00,1,1,0,0,0
01/01/2013,20:15,0,0,0,0,0
01/01/2013,20:30,0,0,0,0,0
01/01/2013,20:45,0,0,0,0,0
01/01/2013,21:00,0,0,0,0,0
01/01/2013,21:15,0,0,0,0,0
01/01/2013,21:30,0,0,0,0,0
01/01/2013,21:45,1,0,1,0,0
01/01/2013,22:00,1,0,0,1,0
01/01/2013,22:15,2,0,2,0,0
01/01/2013,22:30,0,0,0,0,0
01/01/2013,22:45,0,0,0,0,0
01/01/2013,23:00,0,0,0,0,0
01/01/2013,23:15,0,0,0,0,0
01/01/2013,23:30,0,0,0,0,0
01/01/2013,23:45,0,0,0,0,0
02/01/2013,00:00,0,0,0,0,0
02/01/2013,00:15,0,0,0,0,0
02/01/2013,00:30,0,0,0,0,0
02/01/2013,00:45,0,0,0,0,0
02/01/2013,01:00,0,0,0,0,0
02/01/2013,01:15,0,0,0,0,0
02/01/2013,01:30,0,0,0,0,0
02/01/2013,01:45,0,0,0,0,0
02/01/2013,02:00,0,0,0,0,0
02/01/2013,02:15,0,0,0,0,0
02/01/2013,02:30,0,0,0,0,0
02/01/2013,02:45,0,0,0,0,0
02/01/2013,03:00,0,0,0,0,0
02/01/2013,03:15,0,0,0,0,0
02/01/2013,03:30,0,0,0,0,0
02/01/2013,03:45,0,0,0,0,0
02/01/2013,04:00,1,1,0,0,0
02/01/2013,04:15,0,0,0,0,0
02/01/2013,04:30,2,0,2,0,0
02/01/2013,04:45,1,1,0,0,0
02/01/2013,05:00,0,0,0,0,0
02/01/2013,05:15,1,0,1,0,0
02/01/2013,05:30,3,0,1,2,0
02/01/2013,05:45,5,1,1,3,0
02/01/2013,06:00,24,5,16,2,1
02/01/2013,06:15,12,3,4,5,0
02/01/2013,06:30,11,1,3,5,2
02/01/2013,06:45,15,4,1,8,2
02/01/2013,07:00,14,2,2,8,2
02/01/2013,07:15,21,6,1,13,1
02/01/2013,07:30,18,2,2,13,1
02/01/2013,07:45,19,2,4,11,2
