Date,,Four Mile Run Pyro 04,Four Mile Run Pyro OUT,Four Mile Run Pyro IN
01/01/2013,00:00,0,0,0
01/01/2013,00:15,1,1,0
01/01/2013,00:30,0,0,0
01/01/2013,00:45,1,1,0
01/01/2013,01:00,1,1,0
01/01/2013,01:15,0,0,0
01/01/2013,01:30,1,1,0
01/01/2013,01:45,0,0,0
01/01/2013,02:00,1,0,1
01/01/2013,02:15,1,0,1
01/01/2013,02:30,1,1,0
01/01/2013,02:45,0,0,0
01/01/2013,03:00,1,1,0
01/01/2013,03:15,0,0,0
01/01/2013,03:30,1,1,0
01/01/2013,03:45,0,0,0
01/01/2013,04:00,0,0,0
01/01/2013,04:15,2,2,0
01/01/2013,04:30,0,0,0
01/01/2013,04:45,0,0,0
01/01/2013,05:00,1,0,1
01/01/2013,05:15,1,0,1
01/01/2013,05:30,1,0,1
01/01/2013,05:45,0,0,0
01/01/2013,06:00,0,0,0
01/01/2013,06:15,0,0,0
01/01/2013,06:30,1,0,1
01/01/2013,06:45,1,1,0
01/01/2013,07:00,0,0,0
01/01/2013,07:15,0,0,0
01/01/2013,07:30,1,1,0
01/01/2013,07:45,1,1,0
01/01/2013,08:00,2,2,0
01/01/2013,08:15,4,2,2
01/01/2013,08:30,4,1,3
01/01/2013,08:45,7,5,2
01/01/2013,09:00,4,3,1
01/01/2013,09:15,17,8,9
01/01/2013,09:30,9,4,5
01/01/2013,09:45,7,3,4
01/01/2013,10:00,7,4,3
01/01/2013,10:15,5,4,1
01/01/2013,10:30,9,4,5
01/01/2013,10:45,9,3,6
01/01/2013,11:00,14,6,8
01/01/2013,11:15,11,6,5
01/01/2013,11:30,13,7,6
01/01/2013,11:45,15,8,7
01/01/2013,12:00,12,1,11
01/01/2013,12:15,14,10,4
01/01/2013,12:30,14,7,7
01/01/2013,12:45,8,3,5
01/01/2013,13:00,15,6,9
01/01/2013,13:15,20,9,11
01/01/2013,13:30,14,6,8
01/01/2013,13:45,12,3,9
01/01/2013,14:00,13,7,6
01/01/2013,14:15,9,3,6
01/01/2013,14:30,9,3,6
01/01/2013,14:45,13,5,8
01/01/2013,15:00,18,9,9
01/01/2013,15:15,15,3,12
01/01/2013,15:30,7,4,3
01/01/2013,15:45,13,5,8
01/01/2013,16:00,12,7,5
01/01/2013,16:15,12,8,4
01/01/2013,16:30,4,1,3
01/01/2013,16:45,11,5,6
01/01/2013,17:00,8,4,4
01/01/2013,17:15,2,1,1
01/01/2013,17:30,1,0,1
01/01/2013,17:45,1,1,0
01/01/2013,18:00,1,0,1
01/01/2013,18:15,2,2,0
01/01/2013,18:30,6,3,3
01/01/2013,18:45,3,0,3
01/01/2013,19:00,2,0,2
01/01/2013,19:15,0,0,0
01/01/2013,19:30,1,0,1
01/01/2013,19:45,1,1,0
01/01/2013,20:00,3,0,3
01/01/2013,20:15,0,0,0
01/01/2013,20:30,0,0,0
01/01/2013,20:45,1,1,0
01/01/2013,21:00,0,0,0
01/01/2013,21:15,1,0,1
01/01/2013,21:30,0,0,0
01/01/2013,21:45,0,0,0
01/01/2013,22:00,0,0,0
01/01/2013,22:15,1,1,0
01/01/2013,22:30,0,0,0
01/01/2013,22:45,0,0,0
01/01/2013,23:00,2,0,2
01/01/2013,23:15,1,1,0
01/01/2013,23:30,0,0,0
01/01/2013,23:45,0,0,0
02/01/2013,00:00,17,11,6
02/01/2013,00:15,0,0,0
02/01/2013,00:30,0,0,0
02/01/2013,00:45,0,0,0
02/01/2013,01:00,0,0,0
02/01/2013,01:15,0,0,0
02/01/2013,01:30,0,0,0
02/01/2013,01:45,0,0,0
02/01/2013,02:00,0,0,0
02/01/2013,02:15,0,0,0
02/01/2013,02:30,0,0,0
02/01/2013,02:45,0,0,0
02/01/2013,03:00,0,0,0
02/01/2013,03:15,0,0,0
02/01/2013,03:30,2,2,0
02/01/2013,03:45,1,1,0
02/01/2013,04:00,1,1,0
02/01/2013,04:15,0,0,0
02/01/2013,04:30,3,2,1
02/01/2013,04:45,2,0,2
02/01/2013,05:00,1,0,1
02/01/2013,05:15,2,2,0
02/01/2013,05:30,3,1,2
02/01/2013,05:45,10,6,4
02/01/2013,06:00,9,3,6
02/01/2013,06:15,8,6,2
02/01/2013,06:30,11,4,7
02/01/2013,06:45,13,4,9
02/01/2013,07:00,13,3,10
02/01/2013,07:15,10,2,8
02/01/2013,07:30,11,6,5
02/01/2013,07:45,17,7,10
02/01/2013,08:00,12,8,4
02/01/2013,08:15,11,5,6
02/01/2013,08:30,8,7,1
02/01/2013,08:45,12,7,5
02/01/2013,09:00,4,1,3
02/01/2013,09:15,7,4,3
02/01/2013,09:30,9,3,6
02/01/2013,09:45,8,4,4
02/01/2013,10:00,5,4,1
02/01/2013,10:15,9,3,6
02/01/2013,10:30,7,2,5
02/01/2013,10:45,11,3,8
02/01/2013,11:00,1,1,0
02/01/2013,11:15,8,2,6
02/01/2013,11:30,5,1,4
02/01/2013,11:45,8,4,4
02/01/2013,12:00,7,0,7
02/01/2013,12:15,8,4,4
02/01/2013,12:30,9,1,8
02/01/2013,12:45,6,1,5
02/01/2013,13:00,5,4,1
02/01/2013,13:15,7,5,2
02/01/2013,13:30,7,3,4
02/01/2013,13:45,7,4,3
02/01/2013,14:00,7,2,5
02/01/2013,14:15,4,0,4
02/01/2013,14:30,4,2,2
02/01/2013,14:45,8,4,4
02/01/2013,15:00,9,4,5
02/01/2013,15:15,6,3,3
02/01/2013,15:30,6,3,3
02/01/2013,15:45,11,5,6
02/01/2013,16:00,19,4,15
02/01/2013,16:15,18,10,8
02/01/2013,16:30,10,8,2
02/01/2013,16:45,17,10,7
02/01/2013,17:00,16,5,11
02/01/2013,17:15,14,6,8
02/01/2013,17:30,8,4,4
02/01/2013,17:45,9,6,3
02/01/2013,18:00,12,7,5
02/01/2013,18:15,8,3,5
02/01/2013,18:30,6,3,3
02/01/2013,18:45,16,12,4
02/01/2013,19:00,4,2,2
02/01/2013,19:15,5,3,2
02/01/2013,19:30,3,2,1
02/01/2013,19:45,3,3,0
02/01/2013,20:00,1,1,0
02/01/2013,20:15,6,4,2
02/01/2013,20:30,1,1,0
02/01/2013,20:45,1,0,1
02/01/2013,21:00,2,1,1
02/01/2013,21:15,0,0,0
02/01/2013,21:30,2,1,1
02/01/2013,21:45,2,0,2
02/01/2013,22:00,1,1,0
02/01/2013,22:15,0,0,0
02/01/2013,22:30,1,0,1
02/01/2013,22:45,0,0,0
02/01/2013,23:00,0,0,0
02/01/2013,23:15,2,0,2
02/01/2013,23:30,0,0,0
02/01/2013,23:45,0,0,0
03/01/2013,00:00,0,0,0
03/01/2013,00:15,1,1,0
03/01/2013,00:30,0,0,0
03/01/2013,00:45,0,0,0
03/01/2013,01:00,0,0,0
03/01/2013,01:15,1,0,1
03/01/2013,01:30,0,0,0
03/01/2013,01:45,0,0,0
03/01/2013,02:00,0,0,0
03/01/2013,02:15,0,0,0
03/01/2013,02:30,0,0,0
03/01/2013,02:45,0,0,0
03/01/2013,03:00,0,0,0
03/01/2013,03:15,0,0,0
03/01/2013,03:30,0,0,0
03/01/2013,03:45,2,2,0
03/01/2013,04:00,1,1,0
03/01/2013,04:15,2,2,0
03/01/2013,04:30,1,0,1
03/01/2013,04:45,2,2,0
03/01/2013,05:00,1,0,1
03/01/2013,05:15,3,1,2
03/01/2013,05:30,4,3,1
03/01/2013,05:45,5,2,3
03/01/2013,06:00,8,5,3
03/01/2013,06:15,11,6,5
03/01/2013,06:30,11,6,5
03/01/2013,06:45,19,7,12
03/01/2013,07:00,12,3,9
03/01/2013,07:15,15,5,10
03/01/2013,07:30,14,6,8
03/01/2013,07:45,15,4,11
